"","X","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"111",1,"USGS",15009000,"2007-08-01",2100,"A e"
"112",1,"USGS",15024750,"1976-08-01",484,"A"
"113",1,"USGS",15237730,"1997-04-16",12,"A"
"114",1,"USGS",15237800,"1966-10-01",17,"A"
"115",1,"USGS",1523849020,"1993-10-01",46,"A e"
"116",1,"USGS",15238500,"1965-05-01",11,"A"
"117",1,"USGS",15238600,"1967-09-01",150,"A"
"118",1,"USGS",15238648,"1984-09-01",75,"A e"
"119",1,"USGS",15238653,"1984-09-01",280,"A"
"120",1,"USGS",15238795,"1978-10-01",63,"A"
"121",1,"USGS",15238820,"1972-06-01",150,"A"
"122",1,"USGS",15238860,"1973-08-01",76,"A"
"123",1,"USGS",15024800,"1976-07-28",120000,"A"
"124",1,"USGS",15238978,"1992-06-03",0,"A"
"125",1,"USGS",15238982,"1991-07-23",220,"A e"
"126",1,"USGS",15238984,"1991-07-24",30,"A e"
"127",1,"USGS",15238985,"1991-07-24",260,"A e"
"128",1,"USGS",15238986,"2010-07-01",286,"A e"
"129",1,"USGS",15238990,"1979-10-01",838,"A"
"130",1,"USGS",15239001,"1989-10-01",1040,"A"
"131",1,"USGS",15239050,"1979-10-01",321,"A"
"132",1,"USGS",15239060,"1996-08-01",12,"A e"
"133",1,"USGS",15239070,"1983-05-01",180,"A"
"134",1,"USGS",15026000,"1917-10-01",450,"A"
"135",1,"USGS",15239500,"1985-10-01",21,"A"
"136",1,"USGS",15239880,"1971-08-01",31,"A"
"137",1,"USGS",15239900,"1965-06-17",264,"A"
"138",1,"USGS",15240000,"1953-06-23",235,"A"
"139",1,"USGS",15241600,"1963-03-09",148,"A"
"140",1,"USGS",15242000,"1949-07-01",2140,"A"
"141",1,"USGS",15243500,"1960-12-01",110,"A"
"142",1,"USGS",15243900,"1970-08-16",2480,"A"
"143",1,"USGS",15244000,"1947-05-01",18,"A"
"144",1,"USGS",15246000,"1947-09-01",280,"A"
"145",1,"USGS",15028000,"1949-10-01",424,"A"
"146",1,"USGS",15248000,"1947-05-01",120,"A"
"147",1,"USGS",15253000,"1957-05-29",96,"A"
"148",1,"USGS",15254000,"1949-07-15",172,"A"
"149",1,"USGS",15258000,"1947-05-01",350,"A"
"150",1,"USGS",15260000,"1949-08-01",150,"A"
"151",1,"USGS",15260500,"1958-05-24",44,"A"
"152",1,"USGS",15261000,"1957-10-01",220,"A"
