"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15054600",1970-10-01,9.4,"A"
"2","USGS","15054600",1970-10-02,18,"A"
"3","USGS","15054600",1970-10-03,10,"A"
"4","USGS","15054600",1970-10-04,4.7,"A"
"5","USGS","15054600",1970-10-05,3.2,"A"
"6","USGS","15054600",1970-10-06,2.3,"A"
"7","USGS","15054600",1970-10-07,2,"A"
"8","USGS","15054600",1970-10-08,2,"A"
"9","USGS","15054600",1970-10-09,1.9,"A"
"10","USGS","15054600",1970-10-10,3.3,"A"
"11","USGS","15054600",1970-10-11,3.5,"A"
"12","USGS","15054600",1970-10-12,2.4,"A"
"13","USGS","15054600",1970-10-13,2,"A"
"14","USGS","15054600",1970-10-14,1.9,"A"
"15","USGS","15054600",1970-10-15,10,"A"
"16","USGS","15054600",1970-10-16,6.6,"A"
"17","USGS","15054600",1970-10-17,3.3,"A"
"18","USGS","15054600",1970-10-18,2.4,"A"
"19","USGS","15054600",1970-10-19,5.9,"A"
"20","USGS","15054600",1970-10-20,4.7,"A"
"21","USGS","15054600",1970-10-21,2.9,"A"
"22","USGS","15054600",1970-10-22,2.4,"A"
"23","USGS","15054600",1970-10-23,2,"A"
"24","USGS","15054600",1970-10-24,2,"A"
"25","USGS","15054600",1970-10-25,2,"A"
"26","USGS","15054600",1970-10-26,2.2,"A"
"27","USGS","15054600",1970-10-27,13,"A"
"28","USGS","15054600",1970-10-28,4.9,"A"
"29","USGS","15054600",1970-10-29,18,"A"
"30","USGS","15054600",1970-10-30,18,"A"
"31","USGS","15054600",1970-10-31,7.3,"A"
"32","USGS","15054600",1970-11-01,7,"A"
"33","USGS","15054600",1970-11-02,7.7,"A"
"34","USGS","15054600",1970-11-03,4.1,"A"
"35","USGS","15054600",1970-11-04,3.1,"A"
"36","USGS","15054600",1970-11-05,2.5,"A"
"37","USGS","15054600",1970-11-06,2,"A"
"38","USGS","15054600",1970-11-07,1.9,"A"
"39","USGS","15054600",1970-11-08,1.9,"A"
"40","USGS","15054600",1970-11-09,1.7,"A"
"41","USGS","15054600",1970-11-10,1.7,"A"
"42","USGS","15054600",1970-11-11,2,"A"
"43","USGS","15054600",1970-11-12,3.2,"A"
"44","USGS","15054600",1970-11-13,2.4,"A"
"45","USGS","15054600",1970-11-14,2.9,"A"
