"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15298000",1951-08-01,1300,"A"
"2","USGS","15298000",1951-08-02,1300,"A"
"3","USGS","15298000",1951-08-03,1300,"A"
"4","USGS","15298000",1951-08-04,1300,"A"
"5","USGS","15298000",1951-08-05,1300,"A"
"6","USGS","15298000",1951-08-06,1500,"A"
"7","USGS","15298000",1951-08-07,1600,"A"
"8","USGS","15298000",1951-08-08,1500,"A"
"9","USGS","15298000",1951-08-09,1300,"A"
"10","USGS","15298000",1951-08-10,1300,"A"
"11","USGS","15298000",1951-08-11,1400,"A"
"12","USGS","15298000",1951-08-12,1600,"A"
"13","USGS","15298000",1951-08-13,1600,"A"
"14","USGS","15298000",1951-08-14,1600,"A"
"15","USGS","15298000",1951-08-15,1600,"A"
"16","USGS","15298000",1951-08-16,1600,"A"
"17","USGS","15298000",1951-08-17,1600,"A"
"18","USGS","15298000",1951-08-18,1530,"A"
"19","USGS","15298000",1951-08-19,1440,"A"
"20","USGS","15298000",1951-08-20,1310,"A"
"21","USGS","15298000",1951-08-21,1210,"A"
"22","USGS","15298000",1951-08-22,1150,"A"
"23","USGS","15298000",1951-08-23,1240,"A"
"24","USGS","15298000",1951-08-24,1190,"A"
"25","USGS","15298000",1951-08-25,1200,"A"
"26","USGS","15298000",1951-08-26,1500,"A"
"27","USGS","15298000",1951-08-27,1900,"A"
"28","USGS","15298000",1951-08-28,2060,"A"
"29","USGS","15298000",1951-08-29,2230,"A"
"30","USGS","15298000",1951-08-30,2140,"A"
"31","USGS","15298000",1951-08-31,1920,"A"
"32","USGS","15298000",1951-09-01,1960,"A"
"33","USGS","15298000",1951-09-02,2000,"A"
"34","USGS","15298000",1951-09-03,2140,"A"
"35","USGS","15298000",1951-09-04,2190,"A"
"36","USGS","15298000",1951-09-05,2160,"A"
"37","USGS","15298000",1951-09-06,2120,"A"
"38","USGS","15298000",1951-09-07,1950,"A"
"39","USGS","15298000",1951-09-08,1780,"A"
"40","USGS","15298000",1951-09-09,1530,"A"
"41","USGS","15298000",1951-09-10,1440,"A"
"42","USGS","15298000",1951-09-11,1390,"A"
"43","USGS","15298000",1951-09-12,1390,"A"
"44","USGS","15298000",1951-09-13,1310,"A"
"45","USGS","15298000",1951-09-14,1300,"A"
"46","USGS","15298000",1951-09-15,1300,"A"
"47","USGS","15298000",1951-09-16,1300,"A"
"48","USGS","15298000",1951-09-17,1400,"A"
"49","USGS","15298000",1951-09-18,1500,"A"
"50","USGS","15298000",1951-09-19,1600,"A"
"51","USGS","15298000",1951-09-20,1600,"A"
"52","USGS","15298000",1951-09-21,1600,"A"
"53","USGS","15298000",1951-09-22,1500,"A"
"54","USGS","15298000",1951-09-23,1400,"A"
"55","USGS","15298000",1951-09-24,1300,"A"
"56","USGS","15298000",1951-09-25,1200,"A"
"57","USGS","15298000",1951-09-26,1000,"A"
"58","USGS","15298000",1951-09-27,970,"A"
"59","USGS","15298000",1951-09-28,880,"A"
"60","USGS","15298000",1951-09-29,830,"A"
"61","USGS","15298000",1951-09-30,810,"A"
"62","USGS","15298000",1951-10-01,790,"A"
"63","USGS","15298000",1951-10-02,760,"A"
"64","USGS","15298000",1951-10-03,740,"A"
"65","USGS","15298000",1951-10-04,720,"A"
"66","USGS","15298000",1951-10-05,700,"A"
"67","USGS","15298000",1951-10-06,690,"A"
"68","USGS","15298000",1951-10-07,660,"A"
"69","USGS","15298000",1951-10-08,640,"A"
"70","USGS","15298000",1951-10-09,610,"A"
"71","USGS","15298000",1951-10-10,580,"A"
"72","USGS","15298000",1951-10-11,550,"A"
"73","USGS","15298000",1951-10-12,520,"A"
"74","USGS","15298000",1951-10-13,500,"A"
"75","USGS","15298000",1951-10-14,480,"A"
"76","USGS","15298000",1951-10-15,450,"A"
"77","USGS","15298000",1951-10-16,430,"A"
"78","USGS","15298000",1951-10-17,400,"A"
"79","USGS","15298000",1951-10-18,370,"A"
"80","USGS","15298000",1951-10-19,360,"A"
"81","USGS","15298000",1951-10-20,340,"A"
"82","USGS","15298000",1951-10-21,330,"A"
"83","USGS","15298000",1951-10-22,330,"A"
"84","USGS","15298000",1951-10-23,330,"A"
"85","USGS","15298000",1951-10-24,320,"A"
"86","USGS","15298000",1951-10-25,310,"A"
"87","USGS","15298000",1951-10-26,310,"A"
"88","USGS","15298000",1951-10-27,300,"A"
"89","USGS","15298000",1951-10-28,290,"A"
"90","USGS","15298000",1951-10-29,280,"A"
"91","USGS","15298000",1951-10-30,270,"A"
"92","USGS","15298000",1951-10-31,260,"A"
"93","USGS","15298000",1951-11-01,250,"A"
"94","USGS","15298000",1951-11-02,244,"A"
"95","USGS","15298000",1951-11-03,242,"A"
"96","USGS","15298000",1951-11-04,235,"A"
"97","USGS","15298000",1951-11-05,232,"A"
"98","USGS","15298000",1951-11-06,228,"A"
