"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15625850",2004-05-27,220,"A e"
"2","USGS","15625850",2004-05-28,177,"A"
"3","USGS","15625850",2004-05-29,177,"A"
"4","USGS","15625850",2004-05-30,215,"A"
"5","USGS","15625850",2004-05-31,318,"A"
"6","USGS","15625850",2004-06-01,272,"A"
"7","USGS","15625850",2004-06-02,254,"A"
"8","USGS","15625850",2004-06-03,178,"A"
"9","USGS","15625850",2004-06-04,149,"A"
"10","USGS","15625850",2004-06-05,234,"A"
"11","USGS","15625850",2004-06-06,229,"A"
"12","USGS","15625850",2004-06-07,199,"A"
"13","USGS","15625850",2004-06-08,124,"A"
"14","USGS","15625850",2004-06-09,81.1,"A"
"15","USGS","15625850",2004-06-10,70.3,"A"
"16","USGS","15625850",2004-06-11,82.6,"A"
"17","USGS","15625850",2004-06-12,80,"A"
"18","USGS","15625850",2004-06-13,67.1,"A"
"19","USGS","15625850",2004-06-14,55.9,"A"
"20","USGS","15625850",2004-06-15,49.7,"A"
"21","USGS","15625850",2004-06-16,60.5,"A"
"22","USGS","15625850",2004-06-17,76.2,"A"
"23","USGS","15625850",2004-06-18,56.3,"A"
"24","USGS","15625850",2004-06-19,73.1,"A"
"25","USGS","15625850",2004-06-20,59.6,"A"
"26","USGS","15625850",2004-06-21,57.5,"A"
"27","USGS","15625850",2004-06-22,75.9,"A"
"28","USGS","15625850",2004-06-23,108,"A"
"29","USGS","15625850",2004-06-24,84.2,"A"
"30","USGS","15625850",2004-06-25,78,"A e"
"31","USGS","15625850",2004-06-26,72,"A e"
"32","USGS","15625850",2004-06-27,65,"A e"
"33","USGS","15625850",2004-06-28,60,"A e"
"34","USGS","15625850",2004-06-29,53,"A e"
"35","USGS","15625850",2004-06-30,47,"A e"
"36","USGS","15625850",2004-07-01,40,"A e"
"37","USGS","15625850",2004-07-02,34,"A e"
"38","USGS","15625850",2004-07-03,32,"A e"
"39","USGS","15625850",2004-07-04,30,"A e"
"40","USGS","15625850",2004-07-05,29,"A e"
"41","USGS","15625850",2004-07-06,27,"A e"
"42","USGS","15625850",2004-07-07,26,"A e"
"43","USGS","15625850",2004-07-08,26,"A e"
"44","USGS","15625850",2004-07-09,25,"A e"
"45","USGS","15625850",2004-07-10,24,"A e"
"46","USGS","15625850",2004-07-11,22,"A e"
"47","USGS","15625850",2004-07-12,20,"A e"
"48","USGS","15625850",2004-07-13,20,"A e"
"49","USGS","15625850",2004-07-14,20,"A e"
"50","USGS","15625850",2004-07-15,19,"A e"
"51","USGS","15625850",2004-07-16,19,"A e"
"52","USGS","15625850",2004-07-17,22,"A e"
"53","USGS","15625850",2004-07-18,23,"A e"
"54","USGS","15625850",2004-07-19,19,"A e"
"55","USGS","15625850",2004-07-20,17,"A e"
"56","USGS","15625850",2004-07-21,16,"A e"
"57","USGS","15625850",2004-07-22,16,"A e"
"58","USGS","15625850",2004-07-23,15,"A e"
"59","USGS","15625850",2004-07-24,15,"A e"
"60","USGS","15625850",2004-07-25,14,"A e"
"61","USGS","15625850",2004-07-26,14,"A e"
"62","USGS","15625850",2004-07-27,23,"A e"
"63","USGS","15625850",2004-07-28,42.5,"A"
"64","USGS","15625850",2004-07-29,30,"A e"
"65","USGS","15625850",2004-07-30,30,"A e"
"66","USGS","15625850",2004-07-31,24,"A e"
"67","USGS","15625850",2004-08-01,22,"A e"
"68","USGS","15625850",2004-08-02,20,"A e"
"69","USGS","15625850",2004-08-03,33.4,"A"
"70","USGS","15625850",2004-08-04,24.6,"A"
"71","USGS","15625850",2004-08-05,22.6,"A"
"72","USGS","15625850",2004-08-06,21.7,"A"
"73","USGS","15625850",2004-08-07,40.5,"A"
"74","USGS","15625850",2004-08-08,139,"A"
"75","USGS","15625850",2004-08-09,90,"A e"
"76","USGS","15625850",2004-08-10,60,"A e"
"77","USGS","15625850",2004-08-11,50,"A e"
"78","USGS","15625850",2004-08-12,219,"A"
"79","USGS","15625850",2004-08-13,237,"A"
"80","USGS","15625850",2004-08-14,172,"A"
"81","USGS","15625850",2004-08-15,132,"A"
"82","USGS","15625850",2004-08-16,90,"A"
"83","USGS","15625850",2004-08-17,76,"A"
"84","USGS","15625850",2004-08-18,66,"A"
"85","USGS","15625850",2004-08-19,61.2,"A"
"86","USGS","15625850",2004-08-20,60.1,"A"
"87","USGS","15625850",2004-08-21,60.2,"A"
"88","USGS","15625850",2004-08-22,60,"A e"
"89","USGS","15625850",2004-08-23,60,"A e"
"90","USGS","15625850",2004-08-24,60,"A e"
"91","USGS","15625850",2004-08-25,60,"A e"
"92","USGS","15625850",2004-08-26,60,"A e"
"93","USGS","15625850",2004-08-27,58.8,"A"
"94","USGS","15625850",2004-08-28,57.9,"A"
"95","USGS","15625850",2004-08-29,56.9,"A"
"96","USGS","15625850",2004-08-30,57.1,"A"
"97","USGS","15625850",2004-08-31,55.8,"A"
"98","USGS","15625850",2004-09-01,52,"A e"
