"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15081610",1999-03-01,35,"A e"
"2","USGS","15081610",1999-03-02,26,"A e"
"3","USGS","15081610",1999-03-03,17,"A e"
"4","USGS","15081610",1999-03-04,11,"A"
"5","USGS","15081610",1999-03-05,9.3,"A"
"6","USGS","15081610",1999-03-06,9.5,"A"
"7","USGS","15081610",1999-03-07,8.9,"A"
"8","USGS","15081610",1999-03-08,8.7,"A"
"9","USGS","15081610",1999-03-09,8,"A"
"10","USGS","15081610",1999-03-10,8.4,"A"
"11","USGS","15081610",1999-03-11,74,"A"
"12","USGS","15081610",1999-03-12,32,"A"
"13","USGS","15081610",1999-03-13,17,"A"
"14","USGS","15081610",1999-03-14,14,"A"
"15","USGS","15081610",1999-03-15,12,"A"
"16","USGS","15081610",1999-03-16,11,"A"
"17","USGS","15081610",1999-03-17,11,"A"
"18","USGS","15081610",1999-03-18,9.5,"A"
"19","USGS","15081610",1999-03-19,12,"A"
"20","USGS","15081610",1999-03-20,27,"A"
"21","USGS","15081610",1999-03-21,49,"A"
"22","USGS","15081610",1999-03-22,76,"A"
"23","USGS","15081610",1999-03-23,48,"A"
"24","USGS","15081610",1999-03-24,35,"A"
"25","USGS","15081610",1999-03-25,30,"A"
"26","USGS","15081610",1999-03-26,28,"A"
"27","USGS","15081610",1999-03-27,20,"A"
"28","USGS","15081610",1999-03-28,16,"A"
"29","USGS","15081610",1999-03-29,15,"A"
"30","USGS","15081610",1999-03-30,16,"A"
"31","USGS","15081610",1999-03-31,16,"A"
"32","USGS","15081610",1999-04-01,41,"A"
"33","USGS","15081610",1999-04-02,42,"A"
"34","USGS","15081610",1999-04-03,22,"A"
"35","USGS","15081610",1999-04-04,18,"A"
"36","USGS","15081610",1999-04-05,15,"A"
"37","USGS","15081610",1999-04-06,58,"A"
"38","USGS","15081610",1999-04-07,26,"A"
"39","USGS","15081610",1999-04-08,19,"A"
"40","USGS","15081610",1999-04-09,18,"A"
"41","USGS","15081610",1999-04-10,19,"A"
"42","USGS","15081610",1999-04-11,58,"A"
"43","USGS","15081610",1999-04-12,34,"A"
"44","USGS","15081610",1999-04-13,24,"A"
"45","USGS","15081610",1999-04-14,35,"A"
"46","USGS","15081610",1999-04-15,46,"A"
"47","USGS","15081610",1999-04-16,55,"A"
"48","USGS","15081610",1999-04-17,88,"A"
"49","USGS","15081610",1999-04-18,77,"A"
"50","USGS","15081610",1999-04-19,99,"A"
"51","USGS","15081610",1999-04-20,91,"A"
"52","USGS","15081610",1999-04-21,58,"A"
"53","USGS","15081610",1999-04-22,60,"A"
"54","USGS","15081610",1999-04-23,80,"A"
"55","USGS","15081610",1999-04-24,101,"A"
"56","USGS","15081610",1999-04-25,71,"A"
"57","USGS","15081610",1999-04-26,47,"A"
"58","USGS","15081610",1999-04-27,41,"A"
"59","USGS","15081610",1999-04-28,40,"A"
"60","USGS","15081610",1999-04-29,43,"A"
"61","USGS","15081610",1999-04-30,76,"A"
"62","USGS","15081610",1999-05-01,63,"A"
"63","USGS","15081610",1999-05-02,55,"A"
"64","USGS","15081610",1999-05-03,39,"A"
"65","USGS","15081610",1999-05-04,37,"A"
"66","USGS","15081610",1999-05-05,43,"A"
"67","USGS","15081610",1999-05-06,95,"A"
"68","USGS","15081610",1999-05-07,35,"A"
"69","USGS","15081610",1999-05-08,28,"A"
"70","USGS","15081610",1999-05-09,26,"A"
"71","USGS","15081610",1999-05-10,27,"A"
"72","USGS","15081610",1999-05-11,37,"A"
