"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15238653",1984-09-01,280,"A"
"2","USGS","15238653",1984-09-02,300,"A"
"3","USGS","15238653",1984-09-03,350,"A"
"4","USGS","15238653",1984-09-04,350,"A"
"5","USGS","15238653",1984-09-05,300,"A"
"6","USGS","15238653",1984-09-06,280,"A"
"7","USGS","15238653",1984-09-07,452,"A"
"8","USGS","15238653",1984-09-08,452,"A"
"9","USGS","15238653",1984-09-09,495,"A"
"10","USGS","15238653",1984-09-10,542,"A"
"11","USGS","15238653",1984-09-11,501,"A"
"12","USGS","15238653",1984-09-12,442,"A"
"13","USGS","15238653",1984-09-13,630,"A"
"14","USGS","15238653",1984-09-14,3360,"A"
"15","USGS","15238653",1984-09-15,14300,"A"
"16","USGS","15238653",1984-09-16,3860,"A"
"17","USGS","15238653",1984-09-17,568,"A"
"18","USGS","15238653",1984-09-18,252,"A"
"19","USGS","15238653",1984-09-19,151,"A"
"20","USGS","15238653",1984-09-20,83,"A"
"21","USGS","15238653",1984-09-21,55,"A"
"22","USGS","15238653",1984-09-22,47,"A"
"23","USGS","15238653",1984-09-23,55,"A"
"24","USGS","15238653",1984-09-24,256,"A"
"25","USGS","15238653",1984-09-25,748,"A"
"26","USGS","15238653",1984-09-26,296,"A"
"27","USGS","15238653",1984-09-27,222,"A"
"28","USGS","15238653",1984-09-28,648,"A"
"29","USGS","15238653",1984-09-29,1150,"A"
"30","USGS","15238653",1984-09-30,2450,"A"
"31","USGS","15238653",1984-10-01,9300,"A"
"32","USGS","15238653",1984-10-02,8420,"A"
"33","USGS","15238653",1984-10-03,5100,"A"
"34","USGS","15238653",1984-10-04,2380,"A"
"35","USGS","15238653",1984-10-05,2050,"A"
"36","USGS","15238653",1984-10-06,6050,"A"
"37","USGS","15238653",1984-10-07,3150,"A"
"38","USGS","15238653",1984-10-08,1730,"A"
"39","USGS","15238653",1984-10-09,947,"A"
"40","USGS","15238653",1984-10-10,587,"A"
"41","USGS","15238653",1984-10-11,396,"A"
"42","USGS","15238653",1984-10-12,269,"A"
"43","USGS","15238653",1984-10-13,204,"A"
"44","USGS","15238653",1984-10-14,166,"A"
"45","USGS","15238653",1984-10-15,129,"A"
"46","USGS","15238653",1984-10-16,113,"A"
"47","USGS","15238653",1984-10-17,102,"A"
"48","USGS","15238653",1984-10-18,91,"A"
"49","USGS","15238653",1984-10-19,85,"A"
"50","USGS","15238653",1984-10-20,79,"A"
"51","USGS","15238653",1984-10-21,76,"A"
"52","USGS","15238653",1984-10-22,1320,"A"
"53","USGS","15238653",1984-10-23,348,"A"
"54","USGS","15238653",1984-10-24,168,"A"
"55","USGS","15238653",1984-10-25,108,"A"
"56","USGS","15238653",1984-10-26,88,"A"
"57","USGS","15238653",1984-10-27,85,"A"
"58","USGS","15238653",1984-10-28,81,"A"
"59","USGS","15238653",1984-10-29,76,"A"
"60","USGS","15238653",1984-10-30,68,"A"
"61","USGS","15238653",1984-10-31,68,"A"
"62","USGS","15238653",1984-11-01,64,"A"
"63","USGS","15238653",1984-11-02,60,"A"
"64","USGS","15238653",1984-11-03,58,"A"
"65","USGS","15238653",1984-11-04,56,"A"
"66","USGS","15238653",1984-11-05,56,"A"
"67","USGS","15238653",1984-11-06,54,"A"
"68","USGS","15238653",1984-11-07,51,"A"
"69","USGS","15238653",1984-11-08,48,"A"
"70","USGS","15238653",1984-11-09,44,"A"
"71","USGS","15238653",1984-11-10,43,"A"
"72","USGS","15238653",1984-11-11,43,"A"
"73","USGS","15238653",1984-11-12,43,"A"
"74","USGS","15238653",1984-11-13,43,"A"
"75","USGS","15238653",1984-11-14,43,"A"
"76","USGS","15238653",1984-11-15,43,"A"
"77","USGS","15238653",1984-11-16,43,"A"
"78","USGS","15238653",1984-11-17,43,"A"
"79","USGS","15238653",1984-11-18,43,"A"
"80","USGS","15238653",1984-11-19,43,"A"
"81","USGS","15238653",1984-11-20,43,"A"
"82","USGS","15238653",1984-11-21,50,"A"
"83","USGS","15238653",1984-11-22,70,"A"
"84","USGS","15238653",1984-11-23,60,"A"
"85","USGS","15238653",1984-11-24,50,"A"
"86","USGS","15238653",1984-11-25,45,"A"
"87","USGS","15238653",1984-11-26,43,"A"
"88","USGS","15238653",1984-11-27,42,"A"
"89","USGS","15238653",1984-11-28,42,"A"
"90","USGS","15238653",1984-11-29,42,"A"
"91","USGS","15238653",1984-11-30,43,"A"
"92","USGS","15238653",1984-12-01,43,"A"
"93","USGS","15238653",1984-12-02,44,"A"
"94","USGS","15238653",1984-12-03,47,"A"
"95","USGS","15238653",1984-12-04,60,"A"
"96","USGS","15238653",1984-12-05,100,"A"
"97","USGS","15238653",1984-12-06,80,"A"
"98","USGS","15238653",1984-12-07,66,"A"
"99","USGS","15238653",1984-12-08,60,"A"
"100","USGS","15238653",1984-12-09,50,"A"
"101","USGS","15238653",1984-12-10,47,"A"
"102","USGS","15238653",1984-12-11,44,"A"
"103","USGS","15238653",1984-12-12,43,"A"
"104","USGS","15238653",1984-12-13,42,"A"
"105","USGS","15238653",1984-12-14,42,"A"
"106","USGS","15238653",1984-12-15,42,"A"
"107","USGS","15238653",1984-12-16,42,"A"
"108","USGS","15238653",1984-12-17,41,"A"
"109","USGS","15238653",1984-12-18,41,"A"
"110","USGS","15238653",1984-12-19,41,"A"
"111","USGS","15238653",1984-12-20,42,"A"
"112","USGS","15238653",1984-12-21,42,"A"
"113","USGS","15238653",1984-12-22,42,"A"
"114","USGS","15238653",1984-12-23,42,"A"
"115","USGS","15238653",1984-12-24,42,"A"
"116","USGS","15238653",1984-12-25,42,"A"
"117","USGS","15238653",1984-12-26,42,"A"
"118","USGS","15238653",1984-12-27,43,"A"
"119","USGS","15238653",1984-12-28,43,"A"
"120","USGS","15238653",1984-12-29,43,"A"
"121","USGS","15238653",1984-12-30,44,"A"
"122","USGS","15238653",1984-12-31,44,"A"
"123","USGS","15238653",1985-01-01,45,"A"
"124","USGS","15238653",1985-01-02,47,"A"
"125","USGS","15238653",1985-01-03,48,"A"
"126","USGS","15238653",1985-01-04,50,"A"
"127","USGS","15238653",1985-01-05,53,"A"
"128","USGS","15238653",1985-01-06,57,"A"
"129","USGS","15238653",1985-01-07,61,"A"
"130","USGS","15238653",1985-01-08,67,"A"
"131","USGS","15238653",1985-01-09,104,"A"
"132","USGS","15238653",1985-01-10,371,"A"
"133","USGS","15238653",1985-01-11,232,"A"
"134","USGS","15238653",1985-01-12,109,"A"
"135","USGS","15238653",1985-01-13,82,"A"
"136","USGS","15238653",1985-01-14,69,"A"
"137","USGS","15238653",1985-01-15,62,"A"
"138","USGS","15238653",1985-01-16,56,"A"
"139","USGS","15238653",1985-01-17,52,"A"
"140","USGS","15238653",1985-01-18,48,"A"
"141","USGS","15238653",1985-01-19,45,"A"
"142","USGS","15238653",1985-01-20,43,"A"
"143","USGS","15238653",1985-01-21,42,"A"
"144","USGS","15238653",1985-01-22,41,"A"
"145","USGS","15238653",1985-01-23,41,"A"
"146","USGS","15238653",1985-01-24,40,"A"
"147","USGS","15238653",1985-01-25,40,"A"
"148","USGS","15238653",1985-01-26,40,"A"
"149","USGS","15238653",1985-01-27,40,"A"
"150","USGS","15238653",1985-01-28,40,"A"
"151","USGS","15238653",1985-01-29,40,"A"
"152","USGS","15238653",1985-01-30,50,"A"
"153","USGS","15238653",1985-01-31,130,"A"
"154","USGS","15238653",1985-02-01,90,"A"
"155","USGS","15238653",1985-02-02,64,"A"
"156","USGS","15238653",1985-02-03,50,"A"
"157","USGS","15238653",1985-02-04,45,"A"
"158","USGS","15238653",1985-02-05,42,"A"
"159","USGS","15238653",1985-02-06,40,"A"
"160","USGS","15238653",1985-02-07,38,"A"
"161","USGS","15238653",1985-02-08,38,"A"
"162","USGS","15238653",1985-02-09,38,"A"
"163","USGS","15238653",1985-02-10,38,"A"
"164","USGS","15238653",1985-02-11,38,"A"
"165","USGS","15238653",1985-02-12,37,"A"
"166","USGS","15238653",1985-02-13,37,"A"
"167","USGS","15238653",1985-02-14,37,"A"
"168","USGS","15238653",1985-02-15,37,"A"
"169","USGS","15238653",1985-02-16,37,"A"
"170","USGS","15238653",1985-02-17,37,"A"
"171","USGS","15238653",1985-02-18,36,"A"
"172","USGS","15238653",1985-02-19,36,"A"
"173","USGS","15238653",1985-02-20,36,"A"
"174","USGS","15238653",1985-02-21,36,"A"
"175","USGS","15238653",1985-02-22,36,"A"
"176","USGS","15238653",1985-02-23,36,"A"
"177","USGS","15238653",1985-02-24,36,"A"
"178","USGS","15238653",1985-02-25,36,"A"
"179","USGS","15238653",1985-02-26,36,"A"
"180","USGS","15238653",1985-02-27,36,"A"
