"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15085400",1962-06-01,2,"A"
"2","USGS","15085400",1962-06-02,1.7,"A"
"3","USGS","15085400",1962-06-03,1.5,"A"
"4","USGS","15085400",1962-06-04,1.7,"A"
"5","USGS","15085400",1962-06-05,2,"A"
"6","USGS","15085400",1962-06-06,3,"A"
"7","USGS","15085400",1962-06-07,7,"A"
"8","USGS","15085400",1962-06-08,4,"A"
"9","USGS","15085400",1962-06-09,3,"A"
"10","USGS","15085400",1962-06-10,2,"A"
"11","USGS","15085400",1962-06-11,1.7,"A"
"12","USGS","15085400",1962-06-12,1.6,"A"
"13","USGS","15085400",1962-06-13,1.6,"A"
"14","USGS","15085400",1962-06-14,5.4,"A"
"15","USGS","15085400",1962-06-15,3,"A"
"16","USGS","15085400",1962-06-16,2.2,"A"
"17","USGS","15085400",1962-06-17,2.6,"A"
"18","USGS","15085400",1962-06-18,2.5,"A"
"19","USGS","15085400",1962-06-19,1.8,"A"
"20","USGS","15085400",1962-06-20,1.4,"A"
"21","USGS","15085400",1962-06-21,1.1,"A"
"22","USGS","15085400",1962-06-22,0.9,"A"
"23","USGS","15085400",1962-06-23,1,"A"
"24","USGS","15085400",1962-06-24,6.7,"A"
"25","USGS","15085400",1962-06-25,9.9,"A"
"26","USGS","15085400",1962-06-26,3.6,"A"
"27","USGS","15085400",1962-06-27,1.9,"A"
"28","USGS","15085400",1962-06-28,2,"A"
"29","USGS","15085400",1962-06-29,11,"A"
"30","USGS","15085400",1962-06-30,29,"A"
"31","USGS","15085400",1962-07-01,18,"A"
"32","USGS","15085400",1962-07-02,7.9,"A"
"33","USGS","15085400",1962-07-03,4.2,"A"
"34","USGS","15085400",1962-07-04,2.6,"A"
"35","USGS","15085400",1962-07-05,1.8,"A"
"36","USGS","15085400",1962-07-06,1.2,"A"
"37","USGS","15085400",1962-07-07,1,"A"
"38","USGS","15085400",1962-07-08,0.9,"A"
"39","USGS","15085400",1962-07-09,0.7,"A"
"40","USGS","15085400",1962-07-10,0.6,"A"
"41","USGS","15085400",1962-07-11,0.9,"A"
"42","USGS","15085400",1962-07-12,3,"A"
"43","USGS","15085400",1962-07-13,1.9,"A"
"44","USGS","15085400",1962-07-14,5.6,"A"
"45","USGS","15085400",1962-07-15,32,"A"
