"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15446000",2020-05-28,4800,"P"
"2","USGS","15446000",2020-05-29,4170,"P"
"3","USGS","15446000",2020-05-30,4090,"P"
"4","USGS","15446000",2020-05-31,3750,"P"
"5","USGS","15446000",2020-06-01,3360,"P"
"6","USGS","15446000",2020-06-02,2950,"P"
"7","USGS","15446000",2020-06-03,2530,"P"
"8","USGS","15446000",2020-06-04,2360,"P"
"9","USGS","15446000",2020-06-05,2170,"P"
"10","USGS","15446000",2020-06-06,1870,"P"
"11","USGS","15446000",2020-06-07,1680,"P"
"12","USGS","15446000",2020-06-08,1490,"P"
"13","USGS","15446000",2020-06-09,1360,"P"
"14","USGS","15446000",2020-06-10,1270,"P"
"15","USGS","15446000",2020-06-11,1190,"P"
"16","USGS","15446000",2020-06-12,1190,"P"
"17","USGS","15446000",2020-06-13,1250,"P"
"18","USGS","15446000",2020-06-14,1180,"P"
"19","USGS","15446000",2020-06-15,1440,"P"
"20","USGS","15446000",2020-06-16,1570,"P"
"21","USGS","15446000",2020-06-17,2200,"P"
"22","USGS","15446000",2020-06-18,2090,"P"
"23","USGS","15446000",2020-06-19,1630,"P"
"24","USGS","15446000",2020-06-20,1800,"P"
"25","USGS","15446000",2020-06-21,3330,"P"
"26","USGS","15446000",2020-06-22,4360,"P"
"27","USGS","15446000",2020-06-23,6920,"P"
"28","USGS","15446000",2020-06-24,6330,"P"
"29","USGS","15446000",2020-06-25,7580,"P"
"30","USGS","15446000",2020-06-26,6880,"P"
"31","USGS","15446000",2020-06-27,4850,"P"
"32","USGS","15446000",2020-06-28,3680,"P"
"33","USGS","15446000",2020-06-29,2970,"P"
"34","USGS","15446000",2020-06-30,2530,"P"
"35","USGS","15446000",2020-07-01,2290,"P"
"36","USGS","15446000",2020-07-02,2050,"P"
"37","USGS","15446000",2020-07-03,1820,"P"
"38","USGS","15446000",2020-07-04,1630,"P"
"39","USGS","15446000",2020-07-05,1500,"P"
"40","USGS","15446000",2020-07-06,1460,"P"
"41","USGS","15446000",2020-07-07,1460,"P"
"42","USGS","15446000",2020-07-08,1460,"P"
"43","USGS","15446000",2020-07-09,1320,"P"
"44","USGS","15446000",2020-07-10,1200,"P"
"45","USGS","15446000",2020-07-11,1120,"P"
"46","USGS","15446000",2020-07-12,1050,"P"
"47","USGS","15446000",2020-07-13,986,"P"
"48","USGS","15446000",2020-07-14,949,"P"
"49","USGS","15446000",2020-07-15,959,"P"
"50","USGS","15446000",2020-07-16,976,"P"
"51","USGS","15446000",2020-07-17,1010,"P"
"52","USGS","15446000",2020-07-18,1130,"P"
"53","USGS","15446000",2020-07-19,1330,"P"
"54","USGS","15446000",2020-07-20,1540,"P"
"55","USGS","15446000",2020-07-21,1710,"P"
"56","USGS","15446000",2020-07-22,2460,"P"
"57","USGS","15446000",2020-07-23,4570,"P"
"58","USGS","15446000",2020-07-24,4110,"P"
"59","USGS","15446000",2020-07-25,3830,"P"
"60","USGS","15446000",2020-07-26,3800,"P"
"61","USGS","15446000",2020-07-27,3440,"P"
"62","USGS","15446000",2020-07-28,3380,"P"
"63","USGS","15446000",2020-07-29,3710,"P"
"64","USGS","15446000",2020-07-30,3490,"P"
"65","USGS","15446000",2020-07-31,3070,"P"
"66","USGS","15446000",2020-08-01,2700,"P"
"67","USGS","15446000",2020-08-02,2610,"P"
"68","USGS","15446000",2020-08-03,3240,"P"
"69","USGS","15446000",2020-08-04,3380,"P"
"70","USGS","15446000",2020-08-05,3710,"P"
"71","USGS","15446000",2020-08-06,3550,"P"
"72","USGS","15446000",2020-08-07,3100,"P"
"73","USGS","15446000",2020-08-08,2840,"P"
"74","USGS","15446000",2020-08-09,2570,"P"
"75","USGS","15446000",2020-08-10,2410,"P"
"76","USGS","15446000",2020-08-11,3880,"P"
"77","USGS","15446000",2020-08-12,6260,"P"
"78","USGS","15446000",2020-08-13,7300,"P"
"79","USGS","15446000",2020-08-14,7270,"P"
"80","USGS","15446000",2020-08-15,6290,"P"
"81","USGS","15446000",2020-08-16,5420,"P"
"82","USGS","15446000",2020-08-17,4630,"P"
"83","USGS","15446000",2020-08-18,4070,"P"
"84","USGS","15446000",2020-08-19,3640,"P"
"85","USGS","15446000",2020-08-20,3300,"P"
"86","USGS","15446000",2020-08-21,3030,"P"
"87","USGS","15446000",2020-08-22,2840,"P"
"88","USGS","15446000",2020-08-23,2650,"P"
"89","USGS","15446000",2020-08-24,2540,"P"
"90","USGS","15446000",2020-08-25,2570,"P"
"91","USGS","15446000",2020-08-26,2850,"P"
"92","USGS","15446000",2020-08-27,3200,"P"
"93","USGS","15446000",2020-08-28,3860,"P"
"94","USGS","15446000",2020-08-29,4580,"P"
"95","USGS","15446000",2020-08-30,4190,"P"
"96","USGS","15446000",2020-08-31,3810,"P"
"97","USGS","15446000",2020-09-01,3810,"P"
"98","USGS","15446000",2020-09-02,3830,"P"
"99","USGS","15446000",2020-09-03,3880,"P"
"100","USGS","15446000",2020-09-04,4000,"P"
"101","USGS","15446000",2020-09-05,5240,"P"
"102","USGS","15446000",2020-09-06,5790,"P"
"103","USGS","15446000",2020-09-07,5280,"P"
"104","USGS","15446000",2020-09-08,4860,"P"
"105","USGS","15446000",2020-09-09,4480,"P"
"106","USGS","15446000",2020-09-10,4220,"P"
"107","USGS","15446000",2020-09-11,4160,"P"
"108","USGS","15446000",2020-09-12,4030,"P"
"109","USGS","15446000",2020-09-13,3810,"P"
"110","USGS","15446000",2020-09-14,3570,"P"
"111","USGS","15446000",2020-09-15,3380,"P"
"112","USGS","15446000",2020-09-16,3230,"P"
"113","USGS","15446000",2020-09-17,3100,"P"
"114","USGS","15446000",2020-09-18,2990,"P"
"115","USGS","15446000",2020-09-19,2860,"P"
"116","USGS","15446000",2020-09-20,2740,"P"
"117","USGS","15446000",2020-09-21,2630,"P"
"118","USGS","15446000",2020-09-22,2550,"P"
"119","USGS","15446000",2020-09-23,2480,"P"
"120","USGS","15446000",2020-09-24,2500,"P"
"121","USGS","15446000",2020-09-25,2820,"P"
"122","USGS","15446000",2020-09-26,3040,"P"
"123","USGS","15446000",2020-09-27,2930,"P"
"124","USGS","15446000",2020-09-28,2760,"P"
"125","USGS","15446000",2020-09-29,2600,"P"
"126","USGS","15446000",2020-09-30,2460,"P"
"127","USGS","15446000",2020-10-01,2340,"P"
"128","USGS","15446000",2020-10-02,2250,"P"
"129","USGS","15446000",2020-10-03,2150,"P"
"130","USGS","15446000",2020-10-04,2060,"P"
"131","USGS","15446000",2020-10-05,1970,"P"
