"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15297773",1970-11-22,0.7,"A"
"2","USGS","15297773",1970-11-23,3.7,"A"
"3","USGS","15297773",1970-11-24,2.5,"A"
"4","USGS","15297773",1970-11-25,1.6,"A"
"5","USGS","15297773",1970-11-26,1.8,"A"
"6","USGS","15297773",1970-11-27,1.4,"A"
"7","USGS","15297773",1970-11-28,1.6,"A"
"8","USGS","15297773",1970-11-29,2.1,"A"
"9","USGS","15297773",1970-11-30,1.7,"A"
"10","USGS","15297773",1970-12-01,1.7,"A"
"11","USGS","15297773",1970-12-02,1.7,"A"
"12","USGS","15297773",1970-12-03,2,"A"
"13","USGS","15297773",1970-12-04,2,"A"
"14","USGS","15297773",1970-12-05,1.8,"A"
"15","USGS","15297773",1970-12-06,2.1,"A"
"16","USGS","15297773",1970-12-07,2,"A"
"17","USGS","15297773",1970-12-08,1.8,"A"
"18","USGS","15297773",1970-12-09,1.6,"A"
"19","USGS","15297773",1970-12-10,1.4,"A"
"20","USGS","15297773",1970-12-11,1.3,"A"
"21","USGS","15297773",1970-12-12,1.3,"A"
"22","USGS","15297773",1970-12-13,1.3,"A"
"23","USGS","15297773",1970-12-14,1.4,"A"
"24","USGS","15297773",1970-12-15,1.5,"A"
"25","USGS","15297773",1970-12-16,1.3,"A"
"26","USGS","15297773",1970-12-17,1.2,"A"
"27","USGS","15297773",1970-12-18,1.3,"A"
"28","USGS","15297773",1970-12-19,1.3,"A"
"29","USGS","15297773",1970-12-20,1.2,"A"
"30","USGS","15297773",1970-12-21,1.2,"A"
"31","USGS","15297773",1970-12-22,1.1,"A"
"32","USGS","15297773",1970-12-23,1.1,"A"
"33","USGS","15297773",1970-12-24,1,"A"
"34","USGS","15297773",1970-12-25,0.7,"A"
"35","USGS","15297773",1970-12-26,0.7,"A"
"36","USGS","15297773",1970-12-27,0.7,"A"
"37","USGS","15297773",1970-12-28,0.7,"A"
"38","USGS","15297773",1970-12-29,1,"A"
"39","USGS","15297773",1970-12-30,1,"A"
"40","USGS","15297773",1970-12-31,0.9,"A"
"41","USGS","15297773",1971-01-01,0.9,"A"
"42","USGS","15297773",1971-01-02,0.9,"A"
"43","USGS","15297773",1971-01-03,0.8,"A"
"44","USGS","15297773",1971-01-04,0.8,"A"
"45","USGS","15297773",1971-01-05,0.8,"A"
"46","USGS","15297773",1971-01-06,0.7,"A"
"47","USGS","15297773",1971-01-07,0.7,"A"
"48","USGS","15297773",1971-01-08,0.7,"A"
"49","USGS","15297773",1971-01-09,0.7,"A"
"50","USGS","15297773",1971-01-10,1.3,"A"
"51","USGS","15297773",1971-01-11,3.3,"A"
"52","USGS","15297773",1971-01-12,5.9,"A"
"53","USGS","15297773",1971-01-13,2.6,"A"
"54","USGS","15297773",1971-01-14,2,"A"
"55","USGS","15297773",1971-01-15,1.7,"A"
"56","USGS","15297773",1971-01-16,1.5,"A"
"57","USGS","15297773",1971-01-17,1.5,"A"
"58","USGS","15297773",1971-01-18,1.4,"A"
"59","USGS","15297773",1971-01-19,1.3,"A"
"60","USGS","15297773",1971-01-20,1.2,"A"
"61","USGS","15297773",1971-01-21,1.1,"A"
"62","USGS","15297773",1971-01-22,1,"A"
"63","USGS","15297773",1971-01-23,0.98,"A"
"64","USGS","15297773",1971-01-24,0.88,"A"
"65","USGS","15297773",1971-01-25,0.82,"A"
"66","USGS","15297773",1971-01-26,0.82,"A"
"67","USGS","15297773",1971-01-27,0.82,"A"
"68","USGS","15297773",1971-01-28,0.76,"A"
"69","USGS","15297773",1971-01-29,0.76,"A"
"70","USGS","15297773",1971-01-30,0.76,"A"
"71","USGS","15297773",1971-01-31,0.76,"A"
"72","USGS","15297773",1971-02-01,0.76,"A"
"73","USGS","15297773",1971-02-02,0.7,"A"
"74","USGS","15297773",1971-02-03,0.64,"A"
"75","USGS","15297773",1971-02-04,0.64,"A"
"76","USGS","15297773",1971-02-05,0.88,"A"
"77","USGS","15297773",1971-02-06,0.92,"A"
"78","USGS","15297773",1971-02-07,1.3,"A"
"79","USGS","15297773",1971-02-08,0.58,"A"
"80","USGS","15297773",1971-02-09,0.64,"A"
"81","USGS","15297773",1971-02-10,0.82,"A"
"82","USGS","15297773",1971-02-11,1.5,"A"
"83","USGS","15297773",1971-02-12,1.3,"A"
