"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15085000",1962-06-01,20,"A"
"2","USGS","15085000",1962-06-02,18,"A"
"3","USGS","15085000",1962-06-03,17,"A"
"4","USGS","15085000",1962-06-04,18,"A"
"5","USGS","15085000",1962-06-05,20,"A"
"6","USGS","15085000",1962-06-06,30,"A"
"7","USGS","15085000",1962-06-07,60,"A"
"8","USGS","15085000",1962-06-08,39,"A"
"9","USGS","15085000",1962-06-09,28,"A"
"10","USGS","15085000",1962-06-10,20,"A"
"11","USGS","15085000",1962-06-11,18,"A"
"12","USGS","15085000",1962-06-12,17,"A"
"13","USGS","15085000",1962-06-13,21,"A"
"14","USGS","15085000",1962-06-14,26,"A"
"15","USGS","15085000",1962-06-15,23,"A"
"16","USGS","15085000",1962-06-16,22,"A"
"17","USGS","15085000",1962-06-17,35,"A"
"18","USGS","15085000",1962-06-18,33,"A"
"19","USGS","15085000",1962-06-19,23,"A"
"20","USGS","15085000",1962-06-20,18,"A"
"21","USGS","15085000",1962-06-21,15,"A"
"22","USGS","15085000",1962-06-22,13,"A"
"23","USGS","15085000",1962-06-23,12,"A"
"24","USGS","15085000",1962-06-24,46,"A"
"25","USGS","15085000",1962-06-25,61,"A"
"26","USGS","15085000",1962-06-26,29,"A"
"27","USGS","15085000",1962-06-27,19,"A"
"28","USGS","15085000",1962-06-28,16,"A"
"29","USGS","15085000",1962-06-29,15,"A"
"30","USGS","15085000",1962-06-30,24,"A"
"31","USGS","15085000",1962-07-01,25,"A"
"32","USGS","15085000",1962-07-02,18,"A"
"33","USGS","15085000",1962-07-03,14,"A"
"34","USGS","15085000",1962-07-04,12,"A"
"35","USGS","15085000",1962-07-05,10,"A"
"36","USGS","15085000",1962-07-06,8.8,"A"
"37","USGS","15085000",1962-07-07,8.3,"A"
"38","USGS","15085000",1962-07-08,7.4,"A"
"39","USGS","15085000",1962-07-09,6.6,"A"
"40","USGS","15085000",1962-07-10,6.2,"A"
"41","USGS","15085000",1962-07-11,6,"A"
"42","USGS","15085000",1962-07-12,6,"A"
"43","USGS","15085000",1962-07-13,6.2,"A"
"44","USGS","15085000",1962-07-14,6.4,"A"
"45","USGS","15085000",1962-07-15,13,"A"
"46","USGS","15085000",1962-07-16,36,"A"
"47","USGS","15085000",1962-07-17,18,"A"
"48","USGS","15085000",1962-07-18,12,"A"
"49","USGS","15085000",1962-07-19,9.4,"A"
"50","USGS","15085000",1962-07-20,10,"A"
"51","USGS","15085000",1962-07-21,10,"A"
"52","USGS","15085000",1962-07-22,8.6,"A"
"53","USGS","15085000",1962-07-23,7.7,"A"
"54","USGS","15085000",1962-07-24,6.6,"A"
"55","USGS","15085000",1962-07-25,6,"A"
"56","USGS","15085000",1962-07-26,5.1,"A"
"57","USGS","15085000",1962-07-27,4.5,"A"
"58","USGS","15085000",1962-07-28,4,"A"
"59","USGS","15085000",1962-07-29,3.8,"A"
"60","USGS","15085000",1962-07-30,3.4,"A"
"61","USGS","15085000",1962-07-31,3,"A"
"62","USGS","15085000",1962-08-01,2.9,"A"
"63","USGS","15085000",1962-08-02,4,"A"
"64","USGS","15085000",1962-08-03,4.9,"A"
"65","USGS","15085000",1962-08-04,4.4,"A"
"66","USGS","15085000",1962-08-05,3.8,"A"
"67","USGS","15085000",1962-08-06,3.3,"A"
"68","USGS","15085000",1962-08-07,3,"A"
"69","USGS","15085000",1962-08-08,2.9,"A"
"70","USGS","15085000",1962-08-09,12,"A"
"71","USGS","15085000",1962-08-10,66,"A"
"72","USGS","15085000",1962-08-11,64,"A"
"73","USGS","15085000",1962-08-12,30,"A"
"74","USGS","15085000",1962-08-13,29,"A"
"75","USGS","15085000",1962-08-14,26,"A"
"76","USGS","15085000",1962-08-15,30,"A"
"77","USGS","15085000",1962-08-16,57,"A"
"78","USGS","15085000",1962-08-17,33,"A"
"79","USGS","15085000",1962-08-18,24,"A"
"80","USGS","15085000",1962-08-19,37,"A"
"81","USGS","15085000",1962-08-20,64,"A"
"82","USGS","15085000",1962-08-21,39,"A"
"83","USGS","15085000",1962-08-22,26,"A"
"84","USGS","15085000",1962-08-23,25,"A"
"85","USGS","15085000",1962-08-24,24,"A"
"86","USGS","15085000",1962-08-25,19,"A"
"87","USGS","15085000",1962-08-26,16,"A"
"88","USGS","15085000",1962-08-27,14,"A"
"89","USGS","15085000",1962-08-28,12,"A"
"90","USGS","15085000",1962-08-29,11,"A"
"91","USGS","15085000",1962-08-30,9.4,"A"
"92","USGS","15085000",1962-08-31,8.6,"A"
"93","USGS","15085000",1962-09-01,7.7,"A"
"94","USGS","15085000",1962-09-02,6.9,"A"
"95","USGS","15085000",1962-09-03,6.4,"A"
"96","USGS","15085000",1962-09-04,6,"A"
"97","USGS","15085000",1962-09-05,5.8,"A"
"98","USGS","15085000",1962-09-06,5.3,"A"
"99","USGS","15085000",1962-09-07,5.1,"A"
"100","USGS","15085000",1962-09-08,5.6,"A"
"101","USGS","15085000",1962-09-09,8.3,"A"
"102","USGS","15085000",1962-09-10,9.4,"A"
"103","USGS","15085000",1962-09-11,8.6,"A"
"104","USGS","15085000",1962-09-12,8,"A"
"105","USGS","15085000",1962-09-13,10,"A"
"106","USGS","15085000",1962-09-14,15,"A"
"107","USGS","15085000",1962-09-15,21,"A"
"108","USGS","15085000",1962-09-16,96,"A"
"109","USGS","15085000",1962-09-17,40,"A"
"110","USGS","15085000",1962-09-18,36,"A"
"111","USGS","15085000",1962-09-19,24,"A"
"112","USGS","15085000",1962-09-20,17,"A"
"113","USGS","15085000",1962-09-21,23,"A"
"114","USGS","15085000",1962-09-22,21,"A"
"115","USGS","15085000",1962-09-23,30,"A"
"116","USGS","15085000",1962-09-24,40,"A"
"117","USGS","15085000",1962-09-25,26,"A"
"118","USGS","15085000",1962-09-26,24,"A"
"119","USGS","15085000",1962-09-27,30,"A"
"120","USGS","15085000",1962-09-28,77,"A"
"121","USGS","15085000",1962-09-29,306,"A"
"122","USGS","15085000",1962-09-30,156,"A"
"123","USGS","15085000",1962-10-01,88,"A"
"124","USGS","15085000",1962-10-02,44,"A"
"125","USGS","15085000",1962-10-03,32,"A"
"126","USGS","15085000",1962-10-04,32,"A"
"127","USGS","15085000",1962-10-05,81,"A"
"128","USGS","15085000",1962-10-06,178,"A"
"129","USGS","15085000",1962-10-07,243,"A"
"130","USGS","15085000",1962-10-08,121,"A"
"131","USGS","15085000",1962-10-09,115,"A"
"132","USGS","15085000",1962-10-10,109,"A"
"133","USGS","15085000",1962-10-11,64,"A"
"134","USGS","15085000",1962-10-12,36,"A"
"135","USGS","15085000",1962-10-13,24,"A"
"136","USGS","15085000",1962-10-14,19,"A"
