"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15273105",1983-10-01,25,"A"
"2","USGS","15273105",1983-10-02,24,"A"
"3","USGS","15273105",1983-10-03,23,"A"
"4","USGS","15273105",1983-10-04,22,"A"
"5","USGS","15273105",1983-10-05,25,"A"
"6","USGS","15273105",1983-10-06,28,"A"
"7","USGS","15273105",1983-10-07,22,"A"
"8","USGS","15273105",1983-10-08,22,"A"
"9","USGS","15273105",1983-10-09,24,"A"
"10","USGS","15273105",1983-10-10,130,"A"
"11","USGS","15273105",1983-10-11,110,"A"
"12","USGS","15273105",1983-10-12,90,"A"
"13","USGS","15273105",1983-10-13,70,"A"
"14","USGS","15273105",1983-10-14,62,"A"
"15","USGS","15273105",1983-10-15,56,"A"
"16","USGS","15273105",1983-10-16,53,"A"
"17","USGS","15273105",1983-10-17,50,"A"
"18","USGS","15273105",1983-10-18,47,"A"
"19","USGS","15273105",1983-10-19,44,"A"
"20","USGS","15273105",1983-10-20,40,"A"
"21","USGS","15273105",1983-10-21,37,"A"
"22","USGS","15273105",1983-10-22,35,"A"
"23","USGS","15273105",1983-10-23,34,"A"
"24","USGS","15273105",1983-10-24,33,"A"
"25","USGS","15273105",1983-10-25,32,"A"
"26","USGS","15273105",1983-10-26,31,"A"
"27","USGS","15273105",1983-10-27,30,"A"
"28","USGS","15273105",1983-10-28,30,"A"
"29","USGS","15273105",1983-10-29,29,"A"
"30","USGS","15273105",1983-10-30,28,"A"
"31","USGS","15273105",1983-10-31,27,"A"
"32","USGS","15273105",1983-11-01,27,"A"
"33","USGS","15273105",1983-11-02,26,"A"
"34","USGS","15273105",1983-11-03,26,"A"
"35","USGS","15273105",1983-11-04,26,"A"
"36","USGS","15273105",1983-11-05,26,"A"
"37","USGS","15273105",1983-11-06,25,"A"
"38","USGS","15273105",1983-11-07,25,"A"
"39","USGS","15273105",1983-11-08,25,"A"
"40","USGS","15273105",1983-11-09,25,"A"
"41","USGS","15273105",1983-11-10,24,"A"
"42","USGS","15273105",1983-11-11,24,"A"
"43","USGS","15273105",1983-11-12,24,"A"
"44","USGS","15273105",1983-11-13,24,"A"
"45","USGS","15273105",1983-11-14,23,"A"
"46","USGS","15273105",1983-11-15,23,"A"
"47","USGS","15273105",1983-11-16,23,"A"
"48","USGS","15273105",1983-11-17,23,"A"
"49","USGS","15273105",1983-11-18,22,"A"
"50","USGS","15273105",1983-11-19,22,"A"
"51","USGS","15273105",1983-11-20,22,"A"
"52","USGS","15273105",1983-11-21,22,"A"
"53","USGS","15273105",1983-11-22,21,"A"
"54","USGS","15273105",1983-11-23,21,"A"
"55","USGS","15273105",1983-11-24,20,"A"
"56","USGS","15273105",1983-11-25,20,"A"
"57","USGS","15273105",1983-11-26,20,"A"
"58","USGS","15273105",1983-11-27,20,"A"
"59","USGS","15273105",1983-11-28,20,"A"
"60","USGS","15273105",1983-11-29,20,"A"
"61","USGS","15273105",1983-11-30,20,"A"
"62","USGS","15273105",1983-12-01,20,"A"
"63","USGS","15273105",1983-12-02,20,"A"
"64","USGS","15273105",1983-12-03,20,"A"
"65","USGS","15273105",1983-12-04,20,"A"
"66","USGS","15273105",1983-12-05,20,"A"
"67","USGS","15273105",1983-12-06,19,"A"
"68","USGS","15273105",1983-12-07,18,"A"
"69","USGS","15273105",1983-12-08,18,"A"
"70","USGS","15273105",1983-12-09,18,"A"
"71","USGS","15273105",1983-12-10,17,"A"
"72","USGS","15273105",1983-12-11,17,"A"
"73","USGS","15273105",1983-12-12,16,"A"
"74","USGS","15273105",1983-12-13,16,"A"
"75","USGS","15273105",1983-12-14,15,"A"
"76","USGS","15273105",1983-12-15,15,"A"
"77","USGS","15273105",1983-12-16,15,"A"
"78","USGS","15273105",1983-12-17,15,"A"
"79","USGS","15273105",1983-12-18,15,"A"
"80","USGS","15273105",1983-12-19,15,"A"
"81","USGS","15273105",1983-12-20,15,"A"
"82","USGS","15273105",1983-12-21,15,"A"
"83","USGS","15273105",1983-12-22,14,"A"
"84","USGS","15273105",1983-12-23,14,"A"
"85","USGS","15273105",1983-12-24,14,"A"
"86","USGS","15273105",1983-12-25,14,"A"
"87","USGS","15273105",1983-12-26,14,"A"
"88","USGS","15273105",1983-12-27,14,"A"
"89","USGS","15273105",1983-12-28,14,"A"
"90","USGS","15273105",1983-12-29,14,"A"
"91","USGS","15273105",1983-12-30,14,"A"
"92","USGS","15273105",1983-12-31,14,"A"
"93","USGS","15273105",1984-01-01,14,"A"
"94","USGS","15273105",1984-01-02,13,"A"
"95","USGS","15273105",1984-01-03,13,"A"
"96","USGS","15273105",1984-01-04,13,"A"
"97","USGS","15273105",1984-01-05,13,"A"
"98","USGS","15273105",1984-01-06,13,"A"
"99","USGS","15273105",1984-01-07,13,"A"
"100","USGS","15273105",1984-01-08,13,"A"
"101","USGS","15273105",1984-01-09,13,"A"
"102","USGS","15273105",1984-01-10,13,"A"
"103","USGS","15273105",1984-01-11,13,"A"
"104","USGS","15273105",1984-01-12,13,"A"
"105","USGS","15273105",1984-01-13,13,"A"
"106","USGS","15273105",1984-01-14,14,"A"
"107","USGS","15273105",1984-01-15,14,"A"
"108","USGS","15273105",1984-01-16,14,"A"
"109","USGS","15273105",1984-01-17,14,"A"
"110","USGS","15273105",1984-01-18,14,"A"
"111","USGS","15273105",1984-01-19,14,"A"
"112","USGS","15273105",1984-01-20,14,"A"
"113","USGS","15273105",1984-01-21,14,"A"
"114","USGS","15273105",1984-01-22,14,"A"
"115","USGS","15273105",1984-01-23,14,"A"
"116","USGS","15273105",1984-01-24,14,"A"
"117","USGS","15273105",1984-01-25,14,"A"
"118","USGS","15273105",1984-01-26,14,"A"
"119","USGS","15273105",1984-01-27,14,"A"
"120","USGS","15273105",1984-01-28,14,"A"
"121","USGS","15273105",1984-01-29,14,"A"
"122","USGS","15273105",1984-01-30,14,"A"
"123","USGS","15273105",1984-01-31,14,"A"
"124","USGS","15273105",1984-02-01,14,"A"
"125","USGS","15273105",1984-02-02,14,"A"
"126","USGS","15273105",1984-02-03,13,"A"
"127","USGS","15273105",1984-02-04,13,"A"
"128","USGS","15273105",1984-02-05,13,"A"
"129","USGS","15273105",1984-02-06,13,"A"
"130","USGS","15273105",1984-02-07,13,"A"
"131","USGS","15273105",1984-02-08,12,"A"
"132","USGS","15273105",1984-02-09,12,"A"
"133","USGS","15273105",1984-02-10,12,"A"
"134","USGS","15273105",1984-02-11,11,"A"
"135","USGS","15273105",1984-02-12,11,"A"
"136","USGS","15273105",1984-02-13,10,"A"
"137","USGS","15273105",1984-02-14,10,"A"
"138","USGS","15273105",1984-02-15,10,"A"
"139","USGS","15273105",1984-02-16,10,"A"
"140","USGS","15273105",1984-02-17,10,"A"
"141","USGS","15273105",1984-02-18,10,"A"
"142","USGS","15273105",1984-02-19,10,"A"
"143","USGS","15273105",1984-02-20,10,"A"
"144","USGS","15273105",1984-02-21,10,"A"
"145","USGS","15273105",1984-02-22,10,"A"
"146","USGS","15273105",1984-02-23,10,"A"
"147","USGS","15273105",1984-02-24,10,"A"
"148","USGS","15273105",1984-02-25,10,"A"
"149","USGS","15273105",1984-02-26,10,"A"
"150","USGS","15273105",1984-02-27,10,"A"
"151","USGS","15273105",1984-02-28,9.8,"A"
"152","USGS","15273105",1984-02-29,9.8,"A"
"153","USGS","15273105",1984-03-01,9.8,"A"
"154","USGS","15273105",1984-03-02,10,"A"
"155","USGS","15273105",1984-03-03,10,"A"
"156","USGS","15273105",1984-03-04,10,"A"
"157","USGS","15273105",1984-03-05,10,"A"
"158","USGS","15273105",1984-03-06,10,"A"
"159","USGS","15273105",1984-03-07,10,"A"
"160","USGS","15273105",1984-03-08,11,"A"
"161","USGS","15273105",1984-03-09,11,"A"
"162","USGS","15273105",1984-03-10,14,"A"
"163","USGS","15273105",1984-03-11,15,"A"
"164","USGS","15273105",1984-03-12,14,"A"
"165","USGS","15273105",1984-03-13,12,"A"
"166","USGS","15273105",1984-03-14,12,"A"
"167","USGS","15273105",1984-03-15,12,"A"
"168","USGS","15273105",1984-03-16,13,"A"
"169","USGS","15273105",1984-03-17,13,"A"
"170","USGS","15273105",1984-03-18,13,"A"
"171","USGS","15273105",1984-03-19,12,"A"
"172","USGS","15273105",1984-03-20,12,"A"
"173","USGS","15273105",1984-03-21,13,"A"
"174","USGS","15273105",1984-03-22,13,"A"
"175","USGS","15273105",1984-03-23,13,"A"
"176","USGS","15273105",1984-03-24,12,"A"
"177","USGS","15273105",1984-03-25,13,"A"
"178","USGS","15273105",1984-03-26,15,"A"
"179","USGS","15273105",1984-03-27,16,"A"
"180","USGS","15273105",1984-03-28,16,"A"
"181","USGS","15273105",1984-03-29,16,"A"
"182","USGS","15273105",1984-03-30,16,"A"
"183","USGS","15273105",1984-03-31,18,"A"
"184","USGS","15273105",1984-04-01,19,"A"
"185","USGS","15273105",1984-04-02,18,"A"
"186","USGS","15273105",1984-04-03,19,"A"
"187","USGS","15273105",1984-04-04,18,"A"
"188","USGS","15273105",1984-04-05,18,"A"
"189","USGS","15273105",1984-04-06,19,"A"
"190","USGS","15273105",1984-04-07,16,"A"
"191","USGS","15273105",1984-04-08,15,"A"
"192","USGS","15273105",1984-04-09,14,"A"
"193","USGS","15273105",1984-04-10,15,"A"
"194","USGS","15273105",1984-04-11,14,"A"
"195","USGS","15273105",1984-04-12,15,"A"
"196","USGS","15273105",1984-04-13,15,"A"
"197","USGS","15273105",1984-04-14,14,"A"
"198","USGS","15273105",1984-04-15,14,"A"
"199","USGS","15273105",1984-04-16,15,"A"
"200","USGS","15273105",1984-04-17,15,"A"
"201","USGS","15273105",1984-04-18,15,"A"
"202","USGS","15273105",1984-04-19,16,"A"
"203","USGS","15273105",1984-04-20,17,"A"
"204","USGS","15273105",1984-04-21,21,"A"
"205","USGS","15273105",1984-04-22,24,"A"
"206","USGS","15273105",1984-04-23,20,"A"
"207","USGS","15273105",1984-04-24,20,"A"
"208","USGS","15273105",1984-04-25,20,"A"
"209","USGS","15273105",1984-04-26,20,"A"
"210","USGS","15273105",1984-04-27,23,"A"
"211","USGS","15273105",1984-04-28,34,"A"
"212","USGS","15273105",1984-04-29,33,"A"
"213","USGS","15273105",1984-04-30,37,"A"
"214","USGS","15273105",1984-05-01,38,"A"
"215","USGS","15273105",1984-05-02,40,"A"
"216","USGS","15273105",1984-05-03,42,"A"
"217","USGS","15273105",1984-05-04,39,"A"
"218","USGS","15273105",1984-05-05,41,"A"
"219","USGS","15273105",1984-05-06,42,"A"
"220","USGS","15273105",1984-05-07,44,"A"
"221","USGS","15273105",1984-05-08,40,"A"
"222","USGS","15273105",1984-05-09,44,"A"
"223","USGS","15273105",1984-05-10,45,"A"
"224","USGS","15273105",1984-05-11,45,"A"
"225","USGS","15273105",1984-05-12,43,"A"
"226","USGS","15273105",1984-05-13,48,"A"
"227","USGS","15273105",1984-05-14,54,"A"
"228","USGS","15273105",1984-05-15,56,"A"
"229","USGS","15273105",1984-05-16,56,"A"
"230","USGS","15273105",1984-05-17,58,"A"
"231","USGS","15273105",1984-05-18,52,"A"
"232","USGS","15273105",1984-05-19,52,"A"
"233","USGS","15273105",1984-05-20,51,"A"
"234","USGS","15273105",1984-05-21,53,"A"
"235","USGS","15273105",1984-05-22,56,"A"
"236","USGS","15273105",1984-05-23,48,"A"
"237","USGS","15273105",1984-05-24,48,"A"
"238","USGS","15273105",1984-05-25,48,"A"
"239","USGS","15273105",1984-05-26,52,"A"
"240","USGS","15273105",1984-05-27,49,"A"
"241","USGS","15273105",1984-05-28,44,"A"
"242","USGS","15273105",1984-05-29,43,"A"
"243","USGS","15273105",1984-05-30,56,"A"
"244","USGS","15273105",1984-05-31,56,"A"
"245","USGS","15273105",1984-06-01,58,"A"
"246","USGS","15273105",1984-06-02,61,"A"
"247","USGS","15273105",1984-06-03,64,"A"
"248","USGS","15273105",1984-06-04,66,"A"
"249","USGS","15273105",1984-06-05,64,"A"
"250","USGS","15273105",1984-06-06,62,"A"
"251","USGS","15273105",1984-06-07,60,"A"
"252","USGS","15273105",1984-06-08,59,"A"
"253","USGS","15273105",1984-06-09,58,"A"
"254","USGS","15273105",1984-06-10,54,"A"
"255","USGS","15273105",1984-06-11,50,"A"
"256","USGS","15273105",1984-06-12,50,"A"
"257","USGS","15273105",1984-06-13,50,"A"
"258","USGS","15273105",1984-06-14,50,"A"
"259","USGS","15273105",1984-06-15,58,"A"
"260","USGS","15273105",1984-06-16,64,"A"
"261","USGS","15273105",1984-06-17,60,"A"
"262","USGS","15273105",1984-06-18,56,"A"
"263","USGS","15273105",1984-06-19,52,"A"
"264","USGS","15273105",1984-06-20,50,"A"
"265","USGS","15273105",1984-06-21,48,"A"
"266","USGS","15273105",1984-06-22,45,"A"
"267","USGS","15273105",1984-06-23,45,"A"
"268","USGS","15273105",1984-06-24,45,"A"
"269","USGS","15273105",1984-06-25,44,"A"
"270","USGS","15273105",1984-06-26,44,"A"
