"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15485200",1964-07-01,37,"A"
"2","USGS","15485200",1964-07-02,36,"A"
"3","USGS","15485200",1964-07-03,36,"A"
"4","USGS","15485200",1964-07-04,35,"A"
"5","USGS","15485200",1964-07-05,35,"A"
"6","USGS","15485200",1964-07-06,35,"A"
"7","USGS","15485200",1964-07-07,35,"A"
"8","USGS","15485200",1964-07-08,35,"A"
"9","USGS","15485200",1964-07-09,35,"A"
"10","USGS","15485200",1964-07-10,36,"A"
"11","USGS","15485200",1964-07-11,39,"A"
"12","USGS","15485200",1964-07-12,39,"A"
"13","USGS","15485200",1964-07-13,40,"A"
"14","USGS","15485200",1964-07-14,39,"A"
"15","USGS","15485200",1964-07-15,39,"A"
"16","USGS","15485200",1964-07-16,38,"A"
"17","USGS","15485200",1964-07-17,37,"A"
"18","USGS","15485200",1964-07-18,37,"A"
"19","USGS","15485200",1964-07-19,37,"A"
"20","USGS","15485200",1964-07-20,36,"A"
"21","USGS","15485200",1964-07-21,36,"A"
"22","USGS","15485200",1964-07-22,35,"A"
"23","USGS","15485200",1964-07-23,34,"A"
"24","USGS","15485200",1964-07-24,33,"A"
"25","USGS","15485200",1964-07-25,33,"A"
"26","USGS","15485200",1964-07-26,33,"A"
"27","USGS","15485200",1964-07-27,33,"A"
"28","USGS","15485200",1964-07-28,33,"A"
"29","USGS","15485200",1964-07-29,33,"A"
"30","USGS","15485200",1964-07-30,33,"A"
"31","USGS","15485200",1964-07-31,32,"A"
"32","USGS","15485200",1964-08-01,32,"A"
"33","USGS","15485200",1964-08-02,32,"A"
"34","USGS","15485200",1964-08-03,32,"A"
"35","USGS","15485200",1964-08-04,33,"A"
"36","USGS","15485200",1964-08-05,34,"A"
"37","USGS","15485200",1964-08-06,33,"A"
"38","USGS","15485200",1964-08-07,33,"A"
"39","USGS","15485200",1964-08-08,32,"A"
"40","USGS","15485200",1964-08-09,33,"A"
"41","USGS","15485200",1964-08-10,33,"A"
"42","USGS","15485200",1964-08-11,32,"A"
"43","USGS","15485200",1964-08-12,32,"A"
"44","USGS","15485200",1964-08-13,32,"A"
"45","USGS","15485200",1964-08-14,31,"A"
"46","USGS","15485200",1964-08-15,32,"A"
"47","USGS","15485200",1964-08-16,34,"A"
"48","USGS","15485200",1964-08-17,33,"A"
"49","USGS","15485200",1964-08-18,33,"A"
"50","USGS","15485200",1964-08-19,32,"A"
"51","USGS","15485200",1964-08-20,32,"A"
"52","USGS","15485200",1964-08-21,32,"A"
"53","USGS","15485200",1964-08-22,31,"A"
"54","USGS","15485200",1964-08-23,30,"A"
"55","USGS","15485200",1964-08-24,30,"A"
"56","USGS","15485200",1964-08-25,30,"A"
"57","USGS","15485200",1964-08-26,29,"A"
"58","USGS","15485200",1964-08-27,29,"A"
"59","USGS","15485200",1964-08-28,28,"A"
"60","USGS","15485200",1964-08-29,28,"A"
"61","USGS","15485200",1964-08-30,28,"A"
"62","USGS","15485200",1964-08-31,28,"A"
"63","USGS","15485200",1964-09-01,28,"A"
"64","USGS","15485200",1964-09-02,28,"A"
"65","USGS","15485200",1964-09-03,29,"A"
"66","USGS","15485200",1964-09-04,28,"A"
"67","USGS","15485200",1964-09-05,30,"A"
"68","USGS","15485200",1964-09-06,30,"A"
"69","USGS","15485200",1964-09-07,30,"A"
"70","USGS","15485200",1964-09-08,30,"A"
"71","USGS","15485200",1964-09-09,29,"A"
"72","USGS","15485200",1964-09-10,29,"A"
"73","USGS","15485200",1964-09-11,28,"A"
"74","USGS","15485200",1964-09-12,28,"A"
"75","USGS","15485200",1964-09-13,28,"A"
"76","USGS","15485200",1964-09-14,27,"A"
"77","USGS","15485200",1964-09-15,27,"A"
"78","USGS","15485200",1964-09-16,26,"A"
"79","USGS","15485200",1964-09-17,26,"A"
"80","USGS","15485200",1964-09-18,26,"A"
"81","USGS","15485200",1964-09-19,25,"A"
"82","USGS","15485200",1964-09-20,25,"A"
"83","USGS","15485200",1964-09-21,26,"A"
"84","USGS","15485200",1964-09-22,27,"A"
"85","USGS","15485200",1964-09-23,28,"A"
"86","USGS","15485200",1964-09-24,27,"A"
"87","USGS","15485200",1964-09-25,27,"A"
"88","USGS","15485200",1964-09-26,27,"A"
"89","USGS","15485200",1964-09-27,26,"A"
"90","USGS","15485200",1964-09-28,26,"A"
"91","USGS","15485200",1964-09-29,26,"A"
"92","USGS","15485200",1964-09-30,26,"A"
"93","USGS","15485200",1964-10-01,25,"A"
"94","USGS","15485200",1964-10-02,25,"A"
"95","USGS","15485200",1964-10-03,26,"A"
"96","USGS","15485200",1964-10-04,25,"A"
"97","USGS","15485200",1964-10-05,27,"A"
"98","USGS","15485200",1964-10-06,28,"A"
"99","USGS","15485200",1964-10-07,27,"A"
"100","USGS","15485200",1964-10-08,27,"A"
"101","USGS","15485200",1964-10-09,26,"A"
"102","USGS","15485200",1964-10-10,25,"A"
"103","USGS","15485200",1964-10-11,25,"A"
"104","USGS","15485200",1964-10-12,24,"A"
"105","USGS","15485200",1964-10-13,25,"A"
"106","USGS","15485200",1964-10-14,26,"A"
"107","USGS","15485200",1964-10-15,26,"A"
"108","USGS","15485200",1964-10-16,26,"A"
"109","USGS","15485200",1964-10-17,26,"A"
"110","USGS","15485200",1964-10-18,26,"A"
"111","USGS","15485200",1964-10-19,26,"A"
"112","USGS","15485200",1964-10-20,26,"A"
"113","USGS","15485200",1964-10-21,26,"A"
"114","USGS","15485200",1964-10-22,25,"A"
"115","USGS","15485200",1964-10-23,25,"A"
"116","USGS","15485200",1964-10-24,25,"A"
"117","USGS","15485200",1964-10-25,25,"A"
"118","USGS","15485200",1964-10-26,25,"A"
"119","USGS","15485200",1964-10-27,25,"A"
"120","USGS","15485200",1964-10-28,25,"A"
"121","USGS","15485200",1964-10-29,25,"A"
"122","USGS","15485200",1964-10-30,25,"A"
"123","USGS","15485200",1964-10-31,25,"A"
"124","USGS","15485200",1964-11-01,25,"A"
"125","USGS","15485200",1964-11-02,25,"A"
"126","USGS","15485200",1964-11-03,25,"A"
"127","USGS","15485200",1964-11-04,25,"A"
"128","USGS","15485200",1964-11-05,25,"A"
"129","USGS","15485200",1964-11-06,25,"A"
"130","USGS","15485200",1964-11-07,25,"A"
"131","USGS","15485200",1964-11-08,25,"A"
"132","USGS","15485200",1964-11-09,25,"A"
"133","USGS","15485200",1964-11-10,25,"A"
"134","USGS","15485200",1964-11-11,25,"A"
"135","USGS","15485200",1964-11-12,25,"A"
"136","USGS","15485200",1964-11-13,25,"A"
"137","USGS","15485200",1964-11-14,25,"A"
"138","USGS","15485200",1964-11-15,25,"A"
"139","USGS","15485200",1964-11-16,25,"A"
"140","USGS","15485200",1964-11-17,25,"A"
"141","USGS","15485200",1964-11-18,25,"A"
"142","USGS","15485200",1964-11-19,25,"A"
"143","USGS","15485200",1964-11-20,25,"A"
"144","USGS","15485200",1964-11-21,25,"A"
"145","USGS","15485200",1964-11-22,25,"A"
"146","USGS","15485200",1964-11-23,25,"A"
"147","USGS","15485200",1964-11-24,25,"A"
"148","USGS","15485200",1964-11-25,25,"A"
"149","USGS","15485200",1964-11-26,25,"A"
"150","USGS","15485200",1964-11-27,25,"A"
"151","USGS","15485200",1964-11-28,25,"A"
"152","USGS","15485200",1964-11-29,25,"A"
"153","USGS","15485200",1964-11-30,25,"A"
"154","USGS","15485200",1964-12-01,25,"A"
"155","USGS","15485200",1964-12-02,25,"A"
"156","USGS","15485200",1964-12-03,24,"A"
"157","USGS","15485200",1964-12-04,25,"A"
"158","USGS","15485200",1964-12-05,25,"A"
"159","USGS","15485200",1964-12-06,25,"A"
"160","USGS","15485200",1964-12-07,25,"A"
"161","USGS","15485200",1964-12-08,25,"A"
"162","USGS","15485200",1964-12-09,25,"A"
"163","USGS","15485200",1964-12-10,25,"A"
"164","USGS","15485200",1964-12-11,25,"A"
"165","USGS","15485200",1964-12-12,25,"A"
"166","USGS","15485200",1964-12-13,25,"A"
"167","USGS","15485200",1964-12-14,25,"A"
"168","USGS","15485200",1964-12-15,25,"A"
"169","USGS","15485200",1964-12-16,25,"A"
"170","USGS","15485200",1964-12-17,25,"A"
"171","USGS","15485200",1964-12-18,25,"A"
"172","USGS","15485200",1964-12-19,25,"A"
"173","USGS","15485200",1964-12-20,25,"A"
"174","USGS","15485200",1964-12-21,25,"A"
"175","USGS","15485200",1964-12-22,25,"A"
"176","USGS","15485200",1964-12-23,25,"A"
"177","USGS","15485200",1964-12-24,25,"A"
"178","USGS","15485200",1964-12-25,25,"A"
"179","USGS","15485200",1964-12-26,25,"A"
"180","USGS","15485200",1964-12-27,25,"A"
"181","USGS","15485200",1964-12-28,25,"A"
"182","USGS","15485200",1964-12-29,25,"A"
"183","USGS","15485200",1964-12-30,25,"A"
"184","USGS","15485200",1964-12-31,25,"A"
"185","USGS","15485200",1965-01-01,25,"A"
"186","USGS","15485200",1965-01-02,25,"A"
"187","USGS","15485200",1965-01-03,25,"A"
"188","USGS","15485200",1965-01-04,25,"A"
"189","USGS","15485200",1965-01-05,25,"A"
"190","USGS","15485200",1965-01-06,25,"A"
"191","USGS","15485200",1965-01-07,25,"A"
"192","USGS","15485200",1965-01-08,25,"A"
"193","USGS","15485200",1965-01-09,25,"A"
"194","USGS","15485200",1965-01-10,25,"A"
"195","USGS","15485200",1965-01-11,26,"A"
"196","USGS","15485200",1965-01-12,26,"A"
"197","USGS","15485200",1965-01-13,26,"A"
"198","USGS","15485200",1965-01-14,26,"A"
"199","USGS","15485200",1965-01-15,26,"A"
"200","USGS","15485200",1965-01-16,25,"A"
"201","USGS","15485200",1965-01-17,25,"A"
"202","USGS","15485200",1965-01-18,25,"A"
"203","USGS","15485200",1965-01-19,25,"A"
"204","USGS","15485200",1965-01-20,25,"A"
"205","USGS","15485200",1965-01-21,25,"A"
"206","USGS","15485200",1965-01-22,25,"A"
"207","USGS","15485200",1965-01-23,25,"A"
"208","USGS","15485200",1965-01-24,25,"A"
"209","USGS","15485200",1965-01-25,25,"A"
"210","USGS","15485200",1965-01-26,25,"A"
"211","USGS","15485200",1965-01-27,25,"A"
"212","USGS","15485200",1965-01-28,25,"A"
"213","USGS","15485200",1965-01-29,25,"A"
"214","USGS","15485200",1965-01-30,25,"A"
"215","USGS","15485200",1965-01-31,25,"A"
"216","USGS","15485200",1965-02-01,25,"A"
"217","USGS","15485200",1965-02-02,25,"A"
"218","USGS","15485200",1965-02-03,25,"A"
"219","USGS","15485200",1965-02-04,25,"A"
"220","USGS","15485200",1965-02-05,25,"A"
