"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15237800",1966-10-01,17,"A"
"2","USGS","15237800",1966-10-02,17,"A"
"3","USGS","15237800",1966-10-03,17,"A"
"4","USGS","15237800",1966-10-04,18,"A"
"5","USGS","15237800",1966-10-05,20,"A"
"6","USGS","15237800",1966-10-06,18,"A"
"7","USGS","15237800",1966-10-07,17,"A"
"8","USGS","15237800",1966-10-08,16,"A"
"9","USGS","15237800",1966-10-09,16,"A"
"10","USGS","15237800",1966-10-10,15,"A"
"11","USGS","15237800",1966-10-11,14,"A"
"12","USGS","15237800",1966-10-12,14,"A"
"13","USGS","15237800",1966-10-13,14,"A"
"14","USGS","15237800",1966-10-14,14,"A"
"15","USGS","15237800",1966-10-15,14,"A"
"16","USGS","15237800",1966-10-16,13,"A"
"17","USGS","15237800",1966-10-17,12,"A"
"18","USGS","15237800",1966-10-18,12,"A"
"19","USGS","15237800",1966-10-19,12,"A"
"20","USGS","15237800",1966-10-20,12,"A"
"21","USGS","15237800",1966-10-21,11,"A"
"22","USGS","15237800",1966-10-22,10,"A"
"23","USGS","15237800",1966-10-23,10,"A"
"24","USGS","15237800",1966-10-24,9.5,"A"
"25","USGS","15237800",1966-10-25,9,"A"
"26","USGS","15237800",1966-10-26,9,"A"
"27","USGS","15237800",1966-10-27,8.5,"A"
"28","USGS","15237800",1966-10-28,8.5,"A"
"29","USGS","15237800",1966-10-29,8.5,"A"
"30","USGS","15237800",1966-10-30,8,"A"
"31","USGS","15237800",1966-10-31,8,"A"
"32","USGS","15237800",1966-11-01,8,"A"
"33","USGS","15237800",1966-11-02,8.5,"A"
"34","USGS","15237800",1966-11-03,8,"A"
"35","USGS","15237800",1966-11-04,7.5,"A"
"36","USGS","15237800",1966-11-05,7.5,"A"
"37","USGS","15237800",1966-11-06,7.5,"A"
"38","USGS","15237800",1966-11-07,7,"A"
"39","USGS","15237800",1966-11-08,7,"A"
"40","USGS","15237800",1966-11-09,7,"A"
"41","USGS","15237800",1966-11-10,7,"A"
"42","USGS","15237800",1966-11-11,6.5,"A"
"43","USGS","15237800",1966-11-12,6.5,"A"
"44","USGS","15237800",1966-11-13,6.5,"A"
"45","USGS","15237800",1966-11-14,6.5,"A"
"46","USGS","15237800",1966-11-15,6,"A"
"47","USGS","15237800",1966-11-16,6,"A"
"48","USGS","15237800",1966-11-17,6,"A"
"49","USGS","15237800",1966-11-18,6,"A"
"50","USGS","15237800",1966-11-19,5.5,"A"
"51","USGS","15237800",1966-11-20,5.5,"A"
"52","USGS","15237800",1966-11-21,5.5,"A"
"53","USGS","15237800",1966-11-22,5.5,"A"
"54","USGS","15237800",1966-11-23,5.5,"A"
"55","USGS","15237800",1966-11-24,5.1,"A"
"56","USGS","15237800",1966-11-25,5.1,"A"
"57","USGS","15237800",1966-11-26,5.1,"A"
"58","USGS","15237800",1966-11-27,5.1,"A"
"59","USGS","15237800",1966-11-28,5.1,"A"
"60","USGS","15237800",1966-11-29,5.1,"A"
"61","USGS","15237800",1966-11-30,5.1,"A"
"62","USGS","15237800",1966-12-01,5.1,"A"
"63","USGS","15237800",1966-12-02,4.7,"A"
"64","USGS","15237800",1966-12-03,4.7,"A"
"65","USGS","15237800",1966-12-04,4.7,"A"
"66","USGS","15237800",1966-12-05,4.7,"A"
"67","USGS","15237800",1966-12-06,4.7,"A"
"68","USGS","15237800",1966-12-07,4.7,"A"
"69","USGS","15237800",1966-12-08,4.7,"A"
"70","USGS","15237800",1966-12-09,4.7,"A"
"71","USGS","15237800",1966-12-10,4.7,"A"
"72","USGS","15237800",1966-12-11,4.7,"A"
"73","USGS","15237800",1966-12-12,5.5,"A"
"74","USGS","15237800",1966-12-13,5.5,"A"
"75","USGS","15237800",1966-12-14,5.5,"A"
"76","USGS","15237800",1966-12-15,5.5,"A"
"77","USGS","15237800",1966-12-16,5.5,"A"
"78","USGS","15237800",1966-12-17,5.1,"A"
"79","USGS","15237800",1966-12-18,4.7,"A"
"80","USGS","15237800",1966-12-19,4.7,"A"
"81","USGS","15237800",1966-12-20,4.7,"A"
"82","USGS","15237800",1966-12-21,4.3,"A"
"83","USGS","15237800",1966-12-22,4.3,"A"
"84","USGS","15237800",1966-12-23,4.3,"A"
"85","USGS","15237800",1966-12-24,4.3,"A"
"86","USGS","15237800",1966-12-25,4.3,"A"
"87","USGS","15237800",1966-12-26,4,"A"
"88","USGS","15237800",1966-12-27,3.7,"A"
"89","USGS","15237800",1966-12-28,3.4,"A"
"90","USGS","15237800",1966-12-29,3.4,"A"
"91","USGS","15237800",1966-12-30,3.4,"A"
"92","USGS","15237800",1966-12-31,3.4,"A"
"93","USGS","15237800",1967-01-01,3.4,"A"
"94","USGS","15237800",1967-01-02,3.4,"A"
"95","USGS","15237800",1967-01-03,3.4,"A"
"96","USGS","15237800",1967-01-04,3.4,"A"
"97","USGS","15237800",1967-01-05,3.4,"A"
"98","USGS","15237800",1967-01-06,3.4,"A"
"99","USGS","15237800",1967-01-07,3.4,"A"
"100","USGS","15237800",1967-01-08,3.4,"A"
"101","USGS","15237800",1967-01-09,3.4,"A"
