"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","15310002",2015-05-20,730,"A e"
"2","USGS","15310002",2015-05-21,571,"A"
"3","USGS","15310002",2015-05-22,466,"A"
"4","USGS","15310002",2015-05-23,391,"A"
"5","USGS","15310002",2015-05-24,341,"A"
"6","USGS","15310002",2015-05-25,300,"A"
"7","USGS","15310002",2015-05-26,265,"A"
"8","USGS","15310002",2015-05-27,793,"A"
"9","USGS","15310002",2015-05-28,1060,"A"
"10","USGS","15310002",2015-05-29,1060,"A"
"11","USGS","15310002",2015-05-30,910,"A"
"12","USGS","15310002",2015-05-31,824,"A"
"13","USGS","15310002",2015-06-01,675,"A"
"14","USGS","15310002",2015-06-02,646,"A"
"15","USGS","15310002",2015-06-03,594,"A"
"16","USGS","15310002",2015-06-04,549,"A"
"17","USGS","15310002",2015-06-05,510,"A"
"18","USGS","15310002",2015-06-06,484,"A"
"19","USGS","15310002",2015-06-07,403,"A"
"20","USGS","15310002",2015-06-08,356,"A"
"21","USGS","15310002",2015-06-09,318,"A"
"22","USGS","15310002",2015-06-10,265,"A"
"23","USGS","15310002",2015-06-11,226,"A"
"24","USGS","15310002",2015-06-12,197,"A"
"25","USGS","15310002",2015-06-13,176,"A"
"26","USGS","15310002",2015-06-14,152,"A"
"27","USGS","15310002",2015-06-15,127,"A"
"28","USGS","15310002",2015-06-16,102,"A"
"29","USGS","15310002",2015-06-17,86.7,"A"
"30","USGS","15310002",2015-06-18,74,"A"
"31","USGS","15310002",2015-06-19,64.9,"A"
"32","USGS","15310002",2015-06-20,58.3,"A"
"33","USGS","15310002",2015-06-21,55.2,"A"
"34","USGS","15310002",2015-06-22,52.3,"A"
"35","USGS","15310002",2015-06-23,50.1,"A"
"36","USGS","15310002",2015-06-24,82.8,"A"
"37","USGS","15310002",2015-06-25,144,"A"
"38","USGS","15310002",2015-06-26,202,"A"
"39","USGS","15310002",2015-06-27,692,"A"
"40","USGS","15310002",2015-06-28,2020,"A"
"41","USGS","15310002",2015-06-29,1920,"A"
"42","USGS","15310002",2015-06-30,1620,"A"
"43","USGS","15310002",2015-07-01,1460,"A"
"44","USGS","15310002",2015-07-02,1450,"A"
"45","USGS","15310002",2015-07-03,1960,"A"
"46","USGS","15310002",2015-07-04,1630,"A"
"47","USGS","15310002",2015-07-05,1160,"A"
"48","USGS","15310002",2015-07-06,840,"A"
"49","USGS","15310002",2015-07-07,640,"A"
"50","USGS","15310002",2015-07-08,514,"A"
"51","USGS","15310002",2015-07-09,435,"A"
"52","USGS","15310002",2015-07-10,443,"A"
"53","USGS","15310002",2015-07-11,411,"A"
"54","USGS","15310002",2015-07-12,367,"A"
"55","USGS","15310002",2015-07-13,358,"A"
"56","USGS","15310002",2015-07-14,422,"A"
"57","USGS","15310002",2015-07-15,594,"A"
"58","USGS","15310002",2015-07-16,673,"A"
"59","USGS","15310002",2015-07-17,599,"A"
"60","USGS","15310002",2015-07-18,478,"A"
"61","USGS","15310002",2015-07-19,387,"A"
"62","USGS","15310002",2015-07-20,321,"A"
"63","USGS","15310002",2015-07-21,275,"A"
"64","USGS","15310002",2015-07-22,250,"A"
"65","USGS","15310002",2015-07-23,235,"A"
"66","USGS","15310002",2015-07-24,216,"A"
"67","USGS","15310002",2015-07-25,193,"A"
"68","USGS","15310002",2015-07-26,179,"A"
"69","USGS","15310002",2015-07-27,173,"A"
"70","USGS","15310002",2015-07-28,175,"A"
"71","USGS","15310002",2015-07-29,172,"A"
"72","USGS","15310002",2015-07-30,173,"A"
"73","USGS","15310002",2015-07-31,169,"A"
"74","USGS","15310002",2015-08-01,166,"A"
"75","USGS","15310002",2015-08-02,160,"A"
"76","USGS","15310002",2015-08-03,154,"A"
"77","USGS","15310002",2015-08-04,145,"A"
"78","USGS","15310002",2015-08-05,147,"A"
"79","USGS","15310002",2015-08-06,146,"A"
"80","USGS","15310002",2015-08-07,146,"A"
"81","USGS","15310002",2015-08-08,141,"A"
"82","USGS","15310002",2015-08-09,143,"A"
"83","USGS","15310002",2015-08-10,148,"A"
"84","USGS","15310002",2015-08-11,156,"A"
"85","USGS","15310002",2015-08-12,158,"A"
"86","USGS","15310002",2015-08-13,155,"A"
"87","USGS","15310002",2015-08-14,150,"A"
"88","USGS","15310002",2015-08-15,147,"A"
"89","USGS","15310002",2015-08-16,142,"A"
"90","USGS","15310002",2015-08-17,136,"A"
"91","USGS","15310002",2015-08-18,151,"A"
"92","USGS","15310002",2015-08-19,277,"A"
"93","USGS","15310002",2015-08-20,433,"A"
"94","USGS","15310002",2015-08-21,578,"A"
"95","USGS","15310002",2015-08-22,585,"A"
"96","USGS","15310002",2015-08-23,656,"A"
"97","USGS","15310002",2015-08-24,927,"A"
"98","USGS","15310002",2015-08-25,983,"A"
"99","USGS","15310002",2015-08-26,926,"A"
"100","USGS","15310002",2015-08-27,917,"A"
"101","USGS","15310002",2015-08-28,916,"A"
"102","USGS","15310002",2015-08-29,942,"A"
"103","USGS","15310002",2015-08-30,884,"A"
"104","USGS","15310002",2015-08-31,772,"A"
"105","USGS","15310002",2015-09-01,677,"A"
"106","USGS","15310002",2015-09-02,595,"A"
"107","USGS","15310002",2015-09-03,533,"A"
"108","USGS","15310002",2015-09-04,485,"A"
"109","USGS","15310002",2015-09-05,456,"A"
"110","USGS","15310002",2015-09-06,432,"A"
"111","USGS","15310002",2015-09-07,410,"A"
"112","USGS","15310002",2015-09-08,396,"A"
"113","USGS","15310002",2015-09-09,379,"A"
"114","USGS","15310002",2015-09-10,362,"A"
"115","USGS","15310002",2015-09-11,346,"A"
"116","USGS","15310002",2015-09-12,328,"A"
"117","USGS","15310002",2015-09-13,313,"A"
"118","USGS","15310002",2015-09-14,299,"A"
"119","USGS","15310002",2015-09-15,290,"A"
"120","USGS","15310002",2015-09-16,282,"A"
"121","USGS","15310002",2015-09-17,280,"A"
"122","USGS","15310002",2015-09-18,341,"A"
"123","USGS","15310002",2015-09-19,487,"A"
"124","USGS","15310002",2015-09-20,595,"A"
"125","USGS","15310002",2015-09-21,624,"A"
"126","USGS","15310002",2015-09-22,593,"A"
"127","USGS","15310002",2015-09-23,549,"A"
"128","USGS","15310002",2015-09-24,510,"A"
"129","USGS","15310002",2015-09-25,462,"A"
"130","USGS","15310002",2015-09-26,423,"A"
"131","USGS","15310002",2015-09-27,379,"A"
"132","USGS","15310002",2015-09-28,364,"A"
"133","USGS","15310002",2015-09-29,366,"A"
"134","USGS","15310002",2015-09-30,415,"A"
"135","USGS","15310002",2015-10-01,434,"A"
"136","USGS","15310002",2016-04-25,1670,"A"
"137","USGS","15310002",2016-04-26,2210,"A"
"138","USGS","15310002",2016-04-27,2300,"A"
"139","USGS","15310002",2016-04-28,2240,"A"
"140","USGS","15310002",2016-04-29,2040,"A"
"141","USGS","15310002",2016-04-30,1750,"A"
"142","USGS","15310002",2016-05-01,1430,"A"
"143","USGS","15310002",2016-05-02,1240,"A"
"144","USGS","15310002",2016-05-03,1290,"A"
"145","USGS","15310002",2016-05-04,1290,"A"
"146","USGS","15310002",2016-05-05,1140,"A"
"147","USGS","15310002",2016-05-06,1010,"A"
"148","USGS","15310002",2016-05-07,958,"A"
"149","USGS","15310002",2016-05-08,998,"A"
"150","USGS","15310002",2016-05-09,1030,"A"
"151","USGS","15310002",2016-05-10,1100,"A"
"152","USGS","15310002",2016-05-11,1280,"A"
"153","USGS","15310002",2016-05-12,1440,"A"
"154","USGS","15310002",2016-05-13,1630,"A"
"155","USGS","15310002",2016-05-14,1670,"A"
"156","USGS","15310002",2016-05-15,1600,"A"
"157","USGS","15310002",2016-05-16,2260,"A"
"158","USGS","15310002",2016-05-17,1910,"A"
"159","USGS","15310002",2016-05-18,1920,"A"
"160","USGS","15310002",2016-05-19,1700,"A"
"161","USGS","15310002",2016-05-20,1510,"A"
"162","USGS","15310002",2016-05-21,1320,"A"
"163","USGS","15310002",2016-05-22,1170,"A"
"164","USGS","15310002",2016-05-23,1010,"A"
"165","USGS","15310002",2016-05-24,880,"A"
"166","USGS","15310002",2016-05-25,735,"A"
"167","USGS","15310002",2016-05-26,609,"A"
"168","USGS","15310002",2016-05-27,518,"A"
"169","USGS","15310002",2016-05-28,475,"A"
"170","USGS","15310002",2016-05-29,460,"A"
"171","USGS","15310002",2016-05-30,413,"A"
"172","USGS","15310002",2016-05-31,371,"A"
"173","USGS","15310002",2016-06-01,337,"A"
"174","USGS","15310002",2016-06-02,305,"A"
