id,region,river,atnr,location,lid
390,Tanana,Tetlin River,at,Tetlin,\N
391,Tanana,Tok River,nr,Tok Junction,\N
392,Tanana,Tolovana River,nr,Livengood,\N
393,Tanana,Tolovana River,at,Tolovana,\N
394,Tanana,Twin Lakes,nr,Nabesna,\N
396,Yukon,Alakanuk Slough,at,Alakanuk,\N
397,Yukon,Alatna River,at,Allakaket,\N
398,Yukon,Andreafsky River,at,St. Marys,\N
399,Yukon,Anvik River,at,Anvik,\N
400,Yukon,Tbd Lake,nr,Chandalar,\N
401,Yukon,Birch Creek,at,Steese Hwy Bridge,\N
402,Yukon,Black River,at,Chalkyitsik,\N
403,Yukon,Chandalar Lake,at,Chandalar Lake,\N
404,Yukon,Chandalar River,at,Chandalar,\N
405,Yukon,Chandalar River,at,Venetie,\N
406,Yukon,Coal Creek,at,Coal Creek,\N
407,Yukon,Fortymile River,nr,Boundary,\N
409,Yukon,Fortymile River,at,,\N
410,Yukon,Fortymile River,at,Mosquito Fork,\N
411,Yukon,Fortymile River,at,Taylor Hwy Bridge,\N
412,Yukon,Grouse Creek,nr,Circle Hot Springs,\N
413,Yukon,Hooper Bay,at,Hooper Bay,\N
414,Yukon,Hooper Bay Slough,at,Hooper Bay,\N
415,Yukon,Iditarod River,at,Flat,\N
416,Yukon,Igiak Bay,at,Cape Romanzof,\N
417,Yukon,Indian River,nr,Utopia,\N
418,Yukon,Innoko River,at,Holikachuk,\N
419,Yukon,Innoko River,nr,Ophir,\N
420,Yukon,Innoko River,at,Shageluk,\N
421,Yukon,John River,nr,Anaktuvik Pass,\N
422,Yukon,John River,at,Bettles,\N
423,Yukon,Keggatmiut Riv (Kun),at,Scammon Bay,\N
424,Yukon,Ketchum Lake,nr,Circle Hot Springs,\N
425,Yukon,Klondike River,at,Dawson,\N
426,Yukon,Koyukuk River,at,Allakaket,\N
427,Yukon,Koyukuk River,at,Bettles,\N
428,Yukon,Koyukuk River,at,Hughes,\N
429,Yukon,Koyukuk River,at,Huslia,\N
430,Yukon,Koyukuk River,at,Koyukuk,\N
431,Yukon,Koyukuk River,at,Wiseman,\N
433,Yukon,Kwemluk Pass,at,Sheldon Point,\N
434,Yukon,Kwiguk Pass,at,Emmonak,\N
435,Yukon,Kwiguk River,at,Kwiguk,\N
437,Yukon,Lower Portage Creek,nr,Circle Hot Springs,\N
438,Yukon,Medicine Lake,nr,Circle Hot Springs,\N
439,Yukon,Melozitna River,nr,Ruby,\N
