"","site_no","wt_year","Annual_Discharge","t_mean","pcp"
"1","15024800",1984,46525.956284153,0.0754351911704161,-0.845353828039435
"2","15024800",1985,51222.4931506849,-0.727695485178588,-0.218159920142757
"3","15024800",1986,46597.8082191781,-0.725163072570123,-0.521557655102677
"4","15024800",1987,60224.3561643836,0.482245256280941,1.77129975342088
"5","15024800",1988,62875.1366120219,0.234249035294892,0.703474535379144
"6","15024800",1989,64051.2328767123,0.0191747692982771,-1.69100025412109
"7","15024800",1990,64354.4931506849,0.583205414092583,-0.00371460732486639
"8","15024800",1991,58761.9178082192,-0.777868469778655,0.511674119863244
"9","15024800",1992,67925.5191256831,0.323544700717968,2.27037707351976
"10","15024800",1993,57240,-0.244831646704632,-0.993956671324042
"11","15024800",1994,58061.3698630137,0.366636693255148,1.9048883655005
"12","15024800",1995,50342.4657534247,0.421285653885247,-1.45199986911482
"13","15024800",1996,45153.5519125683,-0.942477698349911,-0.852464076048799
"14","15024800",1997,53523.2054794521,0.25550255157157,-1.72127187864648
"15","15024800",1998,54968.7123287671,0.918728182490709,-0.49940783398019
"16","15024800",1999,51609.8082191781,-0.39467321855223,0.650515748891564
"17","15024800",2000,56306.7759562842,0.162532786305787,1.91154264791144
"18","15024800",2001,54305.0410958904,-0.111482419296064,0.420829210513167
"19","15024800",2002,50291.1506849315,-0.78293378549214,-0.353227671153016
"20","15024800",2003,53202.0547945205,0.678154900447569,-1.08617461340295
"21","15024800",2004,56927.0491803279,0.899073675052366,-0.213232682314185
"22","15024800",2005,58952.5205479452,0.613368088777902,0.497365250024529
"23","15024800",2006,57599.9726027397,-0.0141280284824052,0.990244481795363
"24","15024800",2007,61827.6712328767,-0.66893400770819,0.5745016672545
"25","15024800",2008,48543.9890710383,-0.711551811147688,0.244599733584456
"26","15024800",2009,58973.698630137,-0.317344238583205,0.120528026256295
"27","15024800",2010,46710.4109589041,0.924763977305136,-1.21618098633157
"28","15024800",2011,57607.6164383562,-0.640340139690993,0.5433328686489
"29","15024800",2012,54953.0054644809,-0.285803452356615,0.185105854107274
"30","15024800",2013,54765.0410958904,0.387326597944937,-1.63257678962416
"31","15052500",1984,915.51912568306,0.349351200451039,-2.2466309696229
"32","15052500",1985,758.378082191781,-0.770733594408052,0.0281210710811948
"33","15052500",1986,981.78904109589,-0.52364653300287,-0.646823071419364
"34","15052500",1987,1231.47123287671,0.410950251409991,1.45261728467627
"35","15052500",1988,1176.84972677596,0.410633956878963,0.691054957132373
"36","15052500",1989,1372.09315068493,0.154159973551415,-1.49035924037712
"37","15052500",1990,1547.69863013699,0.452008439093414,0.212086297095651
"38","15052500",1991,1296.60273972603,-0.794376678278462,1.17140412034674
"39","15052500",1992,1271.1174863388,0.338918450774832,2.36182894013408
"40","15052500",1993,1213.37534246575,0.426572964081748,-0.965121013898816
"41","15052500",1994,1398.49175824176,0.362409353742583,0.896154917300576
"42","15052500",1997,1253.19178082192,0.0809032375510368,-1.18278152046518
"43","15052500",1998,1183.44657534247,0.799404691149377,-1.022557400643
"44","15052500",1999,1249.29589041096,-0.415498206526455,0.784573472560281
"45","15052500",2000,1235.03825136612,0.195165262112601,0.985760308326119
"46","15052500",2001,1166.49863013699,0.493745138734165,-0.00180963971134673
"47","15052500",2002,1184.39890410959,-0.543282173087613,-1.09253656166709
"48","15052500",2003,1437.10876712329,0.729456958536886,-0.199802471179929
"49","15052500",2004,1319.95546448087,0.92911405413308,-0.782087905187574
"50","15052500",2005,1426.73890410959,0.97433620677847,1.56153454087261
"51","15052500",2006,1357.64657534247,-0.111005941540417,1.66706639232321
"52","15052500",2007,1151.66082191781,-0.883764758219736,0.219570137084359
"53","15052500",2008,1115.41693989071,-0.877703378111538,0.602561788778338
"54","15052500",2009,1269.97835616438,-0.627360194435136,0.330878830970162
"55","15052500",2010,1104.22876712329,0.608542373269382,-1.89509012597717
"56","15052500",2011,1104.4095890411,-0.71452734819096,-0.142860773185062
"57","15052500",2012,1076.58306010929,-0.20655732801598,1.17394715251608
"58","15052500",2013,1323.11534246575,-0.258712832640029,-0.5322108099651
"59","15072000",1984,425.144808743169,-0.0389353327453144,-0.304588809609413
"60","15072000",1985,357.849315068493,-0.834703573832909,-0.721839025616646
"61","15072000",1986,346.756164383562,-0.789381914337477,-1.58308479686578
"62","15072000",1987,478.468493150685,0.402691076944271,2.22860069572926
"63","15072000",1988,493.29781420765,0.0141101983686287,1.47243756552537
"64","15072000",1989,332.471232876712,0.136423325290282,-2.87553319831689
"65","15072000",1990,444.838356164384,0.607984839131435,0.296377902229626
"66","15072000",1991,445.912328767123,-0.910106946279606,0.0790740499893818
"67","15072000",1992,559.199453551913,0.546195021023353,2.85715954005718
"68","15072000",1993,353.764383561644,0.402044274657964,-2.02157043914
"69","15072000",1994,466.980821917808,0.60599891419212,0.378666684031487
"70","15072000",1995,320.980821917808,0.413497011611859,-3.09763536353906
"71","15072000",1996,407.846994535519,-0.548361191401879,-1.33008253077666
"72","15072000",1997,424.383561643836,-0.109925188620886,-0.311008130510649
"73","15072000",1998,376.120547945205,0.727513852963845,-1.25580516954263
"74","15072000",1999,456.095890410959,-0.610552558551232,0.683056637644768
"75","15072000",2000,540.33606557377,-0.229397405435642,2.09282551705837
"76","15072000",2001,473.498630136986,-0.279211599876484,1.63502683738867
"77","15072000",2002,448.825479452055,-0.718329035242399,0.240822816888491
"78","15072000",2003,407.520547945205,0.778168251862128,-0.401473437746366
"79","15072000",2004,390.684972677596,0.83188312202692,0.0826905816793442
