sim,obs
48497.85,60700.0
47905.46,65200.0
50049.99,78200.0
57759.707,88400.0
65957.82,92500.0
79138.44,88100.0
75837.74,79100.0
59774.94,75900.0
44732.695,74400.0
42049.086,72300.0
42169.023,69500.0
38036.086,68600.0
34540.64,71400.0
39084.09,81800.0
49182.67,94400.0
72729.46,96800.0
84700.71,90800.0
70701.34,82400.0
53368.477,75500.0
42339.91,68700.0
33214.316,65100.0
28114.898,62900.0
26987.207,60500.0
26668.672,56800.0
25381.682,54200.0
26897.518,52600.0
28229.332,51400.0
28552.678,50500.0
29816.104,51200.0
29879.82,55300.0
28915.188,61700.0
32653.686,66900.0
39134.516,67400.0
41991.816,65200.0
41315.73,65300.0
39849.676,60400.0
38416.55,54100.0
46045.78,49200.0
37026.316,45700.0
25096.453,43300.0
27547.477,42300.0
25514.348,40400.0
22421.76,40900.0
20591.348,43600.0
18642.506,43600.0
21398.725,42500.0
22932.465,40700.0
21024.984,39500.0
20659.656,43000.0
21991.686,46000.0
27025.12,54200.0
29395.314,66100.0
26451.79,68600.0
23037.955,62300.0
22959.8,54600.0
24785.363,49200.0
23588.502,44800.0
22817.453,41600.0
23747.838,39300.0
23254.986,38800.0
22485.615,39900.0
21522.059,40900.0
20745.113,38100.0
20970.047,34600.0
20848.451,31900.0
19291.652,29900.0
18295.805,28000.0
17932.29,26200.0
17413.102,25000.0
16606.814,24100.0
15912.229,23100.0
15441.57,22300.0
15138.067,21600.0
14768.878,21000.0
14419.986,20500.0
14226.335,19900.0
14352.106,19600.0
14998.294,20300.0
17174.662,22500.0
26750.79,29100.0
39730.652,34900.0
44069.344,37300.0
37540.04,38800.0
35057.258,36300.0
42629.23,32500.0
48959.695,30800.0
40027.77,30200.0
28259.29,29100.0
22474.693,27700.0
23521.51,26000.0
22978.898,24400.0
17700.904,23300.0
15890.207,22300.0
15337.145,21400.0
15091.067,19400.0
14807.029,18700.0
14515.152,18600.0
14256.7705,17500.0
14013.501,17200.0
13743.007,16200.0
13479.461,16200.0
13245.28,15800.0
13003.966,16500.0
12783.158,17000.0
12580.088,17500.0
12365.002,17500.0
12158.449,17500.0
11990.39,17000.0
11825.096,17000.0
11753.679,16000.0
11739.302,14000.0
11939.029,14000.0
11887.767,13500.0
11872.217,13500.0
11721.934,13500.0
11299.752,13000.0
10997.31,13000.0
10867.092,12500.0
10835.086,12500.0
10775.3545,12000.0
10642.919,11500.0
10504.257,10000.0
10400.066,8500.0
10295.194,8000.0
10195.871,7800.0
10099.6045,7800.0
9993.502,8200.0
9886.826,8600.0
9786.196,9000.0
9684.174,9500.0
9660.919,10000.0
9672.785,10500.0
9672.982,11000.0
9584.244,11000.0
9361.048,11500.0
9206.636,11500.0
9064.309,12000.0
8969.06,12000.0
8883.238,12000.0
8792.23,12000.0
8701.285,12000.0
8615.387,11500.0
8528.975,11500.0
8441.434,11000.0
8362.3545,11000.0
8291.196,10500.0
8221.635,10500.0
8153.4263,10000.0
8085.8433,10000.0
8016.7915,9800.0
7940.8384,9600.0
7866.653,9600.0
7793.85,9400.0
7716.294,9400.0
7641.6743,9400.0
7572.285,9400.0
7507.1235,9400.0
7438.124,9400.0
7365.3804,9400.0
7297.2495,9400.0
7231.0054,9400.0
7162.5293,9400.0
7096.776,9400.0
7031.5273,9400.0
6963.8247,9400.0
6898.3774,9400.0
6841.5957,9400.0
6791.482,9400.0
6748.93,9400.0
6734.8975,9400.0
6708.905,9200.0
6672.979,9200.0
6596.771,9000.0
6540.46,8800.0
6506.0767,8600.0
6478.2476,8400.0
6445.6343,8200.0
6415.7227,8200.0
6391.826,8000.0
6370.8247,8000.0
6351.5,8000.0
6332.7056,7800.0
6314.5796,7800.0
6300.5854,7700.0
6288.0884,7700.0
6276.6504,7700.0
6262.802,7600.0
6247.1123,7600.0
6234.8574,7600.0
6223.2188,7600.0
6212.243,7600.0
6198.7266,7600.0
6183.2764,7400.0
6165.707,7400.0
6148.095,7400.0
6128.395,7400.0
6109.7354,7400.0
6092.4854,7400.0
6075.61,7200.0
6060.885,7200.0
6046.922,7200.0
6033.3125,7200.0
6018.265,7200.0
6000.505,7200.0
5984.8257,7200.0
5970.309,7200.0
5955.235,7000.0
5936.5845,7000.0
5913.6147,7000.0
5887.252,7000.0
5861.4917,7000.0
5852.3354,7000.0
6798.8315,7000.0
7409.573,7000.0
8771.719,7000.0
7342.9307,6900.0
6118.993,6900.0
5885.445,6900.0
5899.368,6900.0
6472.799,6900.0
6168.231,6800.0
5773.1763,6800.0
5673.4634,6800.0
5646.308,6800.0
5630.885,6800.0
5617.3423,6800.0
5618.52,6800.0
5585.9795,6800.0
5558.6436,6800.0
5544.7505,6800.0
5547.5186,6700.0
5578.2427,6700.0
5514.76,6700.0
5484.9863,6700.0
5428.5303,6700.0
5393.8867,6700.0
5366.006,6700.0
5340.853,6700.0
5325.4995,6700.0
5317.5034,6700.0
5298.389,6700.0
5277.83,6700.0
5258.1895,6700.0
5229.4385,6700.0
5205.4297,6700.0
5181.813,6700.0
5172.6094,6600.0
5178.1665,6600.0
5135.782,6600.0
5070.449,6600.0
5085.4097,6600.0
5127.914,6600.0
5098.294,6600.0
5374.089,6600.0
7174.304,6600.0
9657.61,6600.0
11147.449,6600.0
9138.653,6600.0
7742.4453,6600.0
9395.896,6600.0
14473.525,6600.0
14133.17,6600.0
8535.356,6600.0
5626.193,6600.0
5230.506,6600.0
8016.5605,6600.0
15329.564,6600.0
27994.072,6600.0
39381.773,6600.0
55275.043,6600.0
75763.18,6600.0
93837.055,6600.0
99035.336,6700.0
91863.63,6900.0
82438.53,7300.0
70503.13,7800.0
59051.785,8300.0
51351.438,8900.0
46772.04,9400.0
44060.406,10000.0
41245.152,11000.0
39398.242,12000.0
38952.043,13000.0
36685.652,14000.0
34413.31,15000.0
33732.54,16000.0
33507.223,17000.0
33731.164,18500.0
34034.797,20000.0
33594.4,21500.0
33197.28,21000.0
31473.95,22800.0
31618.656,25000.0
34352.945,27500.0
