sim,obs
51169.094,65200.0
52874.926,78200.0
61136.79,88400.0
69397.69,92500.0
72055.11,88100.0
86886.125,79100.0
79943.77,75900.0
69386.37,74400.0
67000.41,72300.0
63144.113,69500.0
59057.848,68600.0
51208.36,71400.0
47481.56,81800.0
51165.56,94400.0
68929.35,96800.0
103003.61,90800.0
112789.49,82400.0
94889.74,75500.0
83535.85,68700.0
74729.16,65100.0
73794.14,62900.0
80055.84,60500.0
68355.72,56800.0
56653.31,54200.0
50202.926,52600.0
46726.758,51400.0
42908.89,50500.0
38736.02,51200.0
36675.938,55300.0
34643.05,61700.0
37236.605,66900.0
44266.68,67400.0
50545.613,65200.0
50503.902,65300.0
50546.0,60400.0
53251.637,54100.0
69138.58,49200.0
70581.81,45700.0
57224.074,43300.0
62224.05,42300.0
64150.87,40400.0
57750.34,40900.0
50025.5,43600.0
52758.617,43600.0
58568.234,42500.0
60444.402,40700.0
60789.883,39500.0
53029.332,43000.0
50103.44,46000.0
57717.656,54200.0
69193.78,66100.0
71858.96,68600.0
69654.875,62300.0
68749.8,54600.0
71490.44,49200.0
68290.7,44800.0
61096.547,41600.0
57962.64,39300.0
55644.426,38800.0
52407.625,39900.0
50412.72,40900.0
49828.32,38100.0
50179.06,34600.0
49558.543,31900.0
47046.582,29900.0
44403.086,28000.0
42407.996,26200.0
40457.703,25000.0
38647.61,24100.0
36047.99,23100.0
34141.793,22300.0
32891.566,21600.0
32031.617,21000.0
31342.262,20500.0
30915.879,19900.0
30807.133,19600.0
31430.264,20300.0
32343.904,22500.0
39638.484,29100.0
48208.38,34900.0
46519.965,37300.0
41923.05,38800.0
41932.58,36300.0
56630.824,32500.0
79760.36,30800.0
76561.34,30200.0
60723.496,29100.0
52590.918,27700.0
56645.043,26000.0
57717.08,24400.0
46502.22,23300.0
44654.926,22300.0
43021.387,21400.0
41492.473,19400.0
39962.86,18700.0
38779.25,18600.0
37612.355,17500.0
36381.105,17200.0
35116.336,16200.0
33869.457,16200.0
32636.64,15800.0
31492.814,16500.0
30407.195,17000.0
29364.41,17500.0
28448.674,17500.0
27698.242,17500.0
27376.023,17000.0
27261.355,17000.0
27243.535,16000.0
27572.014,14000.0
28335.156,14000.0
28279.86,13500.0
27616.09,13500.0
27350.443,13500.0
27172.283,13000.0
27100.111,13000.0
27078.205,12500.0
27153.143,12500.0
27551.672,12000.0
27873.436,11500.0
27759.102,10000.0
27603.414,8500.0
27570.893,8000.0
27546.658,7800.0
27181.768,7800.0
26686.195,8200.0
26149.174,8600.0
25616.178,9000.0
25078.467,9500.0
25004.295,10000.0
25697.223,10500.0
26425.586,11000.0
26603.668,11000.0
26454.904,11500.0
26677.379,11500.0
26909.855,12000.0
26945.781,12000.0
26806.062,12000.0
26458.615,12000.0
25971.492,12000.0
25477.604,11500.0
24973.506,11500.0
24460.13,11000.0
23953.268,11000.0
23445.639,10500.0
22940.133,10500.0
22465.588,10000.0
21998.488,10000.0
21552.71,9800.0
21145.764,9600.0
20781.115,9600.0
20384.875,9400.0
20010.31,9400.0
19668.195,9400.0
19335.713,9400.0
19028.387,9400.0
18719.86,9400.0
18408.818,9400.0
18123.324,9400.0
17864.06,9400.0
17611.854,9400.0
17348.744,9400.0
17082.207,9400.0
16914.992,9400.0
16698.342,9400.0
16447.104,9400.0
16253.076,9400.0
16176.994,9400.0
16309.104,9400.0
16179.193,9200.0
16219.306,9200.0
15684.569,9000.0
15374.274,8800.0
15194.489,8600.0
15037.522,8400.0
14896.863,8200.0
14713.598,8200.0
14497.439,8000.0
14281.681,8000.0
14070.297,8000.0
13853.684,7800.0
13633.586,7800.0
13419.884,7700.0
13245.054,7700.0
13095.83,7700.0
12957.452,7600.0
12824.588,7600.0
12684.013,7600.0
12535.258,7600.0
12404.388,7600.0
12293.39,7600.0
12167.233,7400.0
12032.795,7400.0
11915.585,7400.0
11755.948,7400.0
11578.531,7400.0
11432.688,7400.0
11314.817,7200.0
11213.156,7200.0
11108.535,7200.0
11002.13,7200.0
10903.043,7200.0
10803.604,7200.0
10685.978,7200.0
10561.591,7200.0
10435.281,7000.0
10307.826,7000.0
10198.099,7000.0
10084.925,7000.0
10034.576,7000.0
10387.898,7000.0
11648.018,7000.0
11988.926,7000.0
14398.8,7000.0
12973.938,6900.0
11698.2295,6900.0
12463.635,6900.0
12680.622,6900.0
14578.585,6900.0
14210.297,6800.0
12424.891,6800.0
11955.007,6800.0
11996.349,6800.0
12193.759,6800.0
12817.469,6800.0
12885.348,6800.0
12726.144,6800.0
12865.484,6800.0
12837.912,6800.0
13041.562,6700.0
13206.68,6700.0
13126.352,6700.0
13137.741,6700.0
12982.084,6700.0
12805.754,6700.0
12802.279,6700.0
12768.693,6700.0
12629.305,6700.0
12472.409,6700.0
12207.642,6700.0
11991.788,6700.0
12041.373,6700.0
12435.88,6700.0
12783.207,6700.0
12997.974,6700.0
13170.397,6600.0
13486.06,6600.0
13883.138,6600.0
13829.966,6600.0
13930.536,6600.0
14090.052,6600.0
14436.298,6600.0
15257.782,6600.0
16570.887,6600.0
18633.809,6600.0
19106.129,6600.0
17421.424,6600.0
17124.793,6600.0
19207.342,6600.0
22086.855,6600.0
21073.549,6600.0
17580.488,6600.0
15846.379,6600.0
16358.403,6600.0
18832.795,6600.0
24362.834,6600.0
28144.33,6600.0
27355.297,6600.0
29147.604,6600.0
33591.734,6600.0
37353.43,6600.0
39198.613,6700.0
40211.34,6900.0
41842.383,7300.0
44244.234,7800.0
46003.902,8300.0
47071.12,8900.0
47866.4,9400.0
48189.832,10000.0
48437.363,11000.0
48623.414,12000.0
48630.195,13000.0
47721.707,14000.0
46696.586,15000.0
45320.79,16000.0
44017.324,17000.0
42758.645,18500.0
41357.27,20000.0
40381.234,21500.0
39618.43,21000.0
38942.613,22800.0
38139.258,25000.0
37508.215,27500.0
37963.598,29800.0
38873.973,30600.0
39203.49,32300.0
40405.375,38800.0
42489.17,50100.0
46103.277,63900.0
53331.445,62400.0
59855.793,52900.0
60274.977,48300.0
64752.184,47500.0
63828.695,51700.0
65269.805,51300.0
71831.33,48800.0
72138.45,47500.0
70688.7,45800.0
70147.38,43500.0
72188.414,40400.0
71276.59,38500.0
68656.75,37300.0
66067.9,36700.0
64415.164,37500.0
64114.6,40100.0
65264.207,43800.0
70179.69,49900.0
76734.2,53000.0
79406.164,51600.0
75108.99,51000.0
71618.57,53500.0
72404.734,54300.0
77834.93,53900.0
82619.63,52300.0
71784.164,53500.0
64822.273,53300.0
65188.355,49000.0
59338.9,46100.0
54460.96,46800.0
57378.062,48700.0
57822.426,50700.0
55204.434,53400.0
60408.285,55800.0
62428.68,55200.0
61225.324,52000.0
65262.492,50400.0
69597.74,50900.0
71387.13,52100.0
70572.2,52700.0
68816.15,52500.0
63459.51,53400.0
61956.5,54900.0
60934.805,56500.0
58470.3,58300.0
56795.31,60100.0
54129.97,61000.0
58032.848,63500.0
58629.81,66300.0
53109.145,67900.0
51481.074,69200.0
46572.574,70300.0
41777.074,70800.0
38350.42,67900.0
38156.14,65200.0
38194.094,65100.0
38085.863,64400.0
41140.83,66400.0
47366.793,66600.0
